state_code,state_name,district_name,dist_code,court_no,court_name
2,Andhra Pradesh,Vizianagaram,21,17,II Additional District and Sessions Court
2,Andhra Pradesh,West Godavari,23,1,Principal District and Sessions Court
2,Andhra Pradesh,West Godavari,23,6,III ADDL DISTRICT COURT BHIMAVARAM
2,Andhra Pradesh,West Godavari,23,13,X ADDL DISTRICT COURT NARSAPUR
2,Andhra Pradesh,West Godavari,23,20,IX Additional District and Sessions
2,Andhra Pradesh,West Godavari,23,23,ADDITIONAL DISTRICT COURT TANUKU
3,Karnataka,BELAGAVI,1,1,Prl.  District and Session Judge
3,Karnataka,BAGALKOT,2,1,PRL. DISTRICT AND SESSION JUDGE
3,Karnataka,VIJAYAPURA,3,1,PRL. DISTRICT AND SESSIONS COURT
3,Karnataka,KALABURAGI,4,1,Prl Dist and Sessions Court Kalaburagi
3,Karnataka,BIDAR,5,1,District and Sessions Court
3,Karnataka,RAICHUR,6,1,PRL DISTRICT AND SESSIONS JUDGE
3,Karnataka,KOPPAL,7,1,Prl.District and Sessions Court Koppal
3,Karnataka,GADAG,8,1,Prl District and Sessions Judge
3,Karnataka,DHARWAD,9,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,UTTARA KANNADA,10,1,PRL. DISTRICT AND SESSIONS JUDGE COURT
3,Karnataka,UTTARA KANNADA,10,18,1st ADDL. Dist AND SESSIONS JUDGE
3,Karnataka,HAVERI,11,1,Prl District and Sessions Judge
3,Karnataka,HAVERI,11,13,II Addl District and Sessions Judge
3,Karnataka,BALLARI,12,1,PRL DISTRICT AND SESSIONS JUDGE
3,Karnataka,BALLARI,12,16,III ADDL DISTRICT AND SESSIONS JUDGE
3,Karnataka,CHITRADURGA,13,1,Prl. District and Sessions Judge
3,Karnataka,DAVANGERE,14,1,PRL DISTRICT AND SESSION JUDGE
3,Karnataka,SHIVAMOGGA,15,1,Prl. District and Sessions Judge.
3,Karnataka,UDUPI,16,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,UDUPI,16,7,ADDL.DISTRICT AND SESSIONS JUDGE-SIT AT KUNDAPURA
3,Karnataka,CHIKKAMAGALURU,17,1,PRL.DISTRICT AND SESSIONS JUDGE
3,Karnataka,TUMAKURU,18,1,Prl. District and Sessions Judge
3,Karnataka,TUMAKURU,18,22,V Addl. District and Sessions Judge
