state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count
5,9,8,795,428,323,41,3,0
5,10,1,9525,8350,1073,100,2,0
5,10,2,6950,5989,702,208,51,0
5,10,3,16201,13690,1917,378,216,0
5,11,1,1903,1155,613,125,10,0
5,11,8,3781,3107,594,79,1,0
5,11,9,1089,651,289,126,23,0
5,11,10,5227,3632,1128,255,212,0
5,11,11,15765,13207,1194,790,574,0
6,1,4,20442,16511,3188,648,95,0
6,1,8,48152,19288,16795,8452,3611,6
6,2,2,7042,5479,1271,262,30,0
6,2,5,12591,7066,4160,1060,305,0
6,3,2,5484,4260,910,258,56,0
6,3,4,38660,24840,10810,2432,578,0
6,3,8,260,167,53,22,18,0
6,4,2,4668,4082,525,55,6,0
6,4,5,16177,10570,4592,852,163,0
6,5,2,4721,4044,582,80,15,0
6,5,4,18476,10432,6304,1289,451,0
6,6,2,4248,3240,768,175,65,0
6,6,4,40749,31686,6169,1918,976,0
6,6,7,1520,674,513,236,97,0
6,7,2,5642,4325,1061,218,38,0
6,7,4,34622,28417,4105,1301,799,0
6,8,2,3319,1427,1294,449,149,0
6,8,5,20032,11063,6152,2014,803,0
6,9,3,1331,930,321,68,12,0
6,9,6,3951,2467,1311,144,29,0
6,9,10,116,29,71,16,0,0
6,10,2,10999,9174,1278,375,171,1
6,10,4,35482,21429,10083,2647,1323,0
6,11,2,5037,3861,952,186,38,0
6,11,4,25561,17862,5663,1674,362,0
6,12,1,3506,2450,857,173,25,1
6,12,4,15302,6308,6356,1901,737,0
6,13,1,7905,6883,805,178,39,0
6,13,4,17193,8216,5003,2587,1382,5
6,15,1,4575,3979,482,82,32,0
6,15,3,18765,13953,4195,579,38,0
6,16,1,4338,3309,697,232,100,0
6,16,3,22833,12131,6211,2857,1634,0
6,16,8,716,467,141,78,30,0
6,17,1,2039,1458,470,96,15,0
6,17,2,8089,5819,1946,265,59,0
6,18,1,3709,1997,1355,325,32,0
6,18,3,21987,14180,4828,2098,881,0
6,19,1,3994,3360,467,122,45,0
6,19,3,10660,5758,3732,910,260,0
6,20,1,7641,6912,600,114,15,0
6,20,3,19919,9143,6284,3038,1454,0
6,20,8,1538,976,494,62,6,0
6,21,1,5696,4319,1078,236,63,0
6,21,2,13953,7310,4819,1395,429,0
6,22,1,1846,1113,594,120,19,0
6,22,3,3474,1663,1299,403,109,0
6,23,2,609,271,197,121,20,0
6,23,4,2329,800,889,567,73,0
6,23,6,148,126,16,4,2,0
6,24,2,5292,3919,1086,214,73,0
6,24,3,904,698,173,25,8,0
6,25,1,689,253,373,63,0,0
6,25,2,963,340,533,62,28,0
6,25,6,103,53,36,11,3,0
6,26,1,362,162,70,72,58,0
6,26,3,2809,2353,199,115,142,0
6,27,1,133,74,51,4,4,0
6,27,3,486,427,59,0,0,0
6,28,3,170,134,15,7,14,0
7,1,2,11417,10470,692,176,79,0
7,1,3,8208,5369,1751,722,365,1
7,2,2,6341,4576,854,486,425,0
7,3,1,6466,5756,449,128,133,0
7,3,5,9241,4983,2298,884,1076,0
7,4,2,6704,5286,735,353,330,0
7,4,4,5313,3073,1326,521,393,0
7,5,1,5639,4346,698,401,194,0
7,6,2,7719,5837,825,522,535,0
7,6,5,6147,2329,1659,1027,1132,0
7,7,2,16633,15104,1028,309,192,0
7,7,3,12869,8670,2119,1112,967,1
7,8,4,3869,3269,469,91,40,0
7,8,5,5054,3064,1457,423,110,0
7,9,4,28363,24691,2920,585,167,0
7,9,5,20141,11406,5845,2135,755,0
7,10,1,13564,12266,909,308,81,0
7,10,4,10016,4379,2829,1578,1230,0
7,11,1,23105,18474,2788,1095,748,0
7,11,2,23285,8090,6789,4554,3851,1
7,12,1,6426,5735,571,88,32,0
7,13,1,8813,7909,465,178,261,0
7,14,1,4828,3957,525,227,119,0
7,14,3,5514,2355,1576,875,708,0
7,15,1,5673,4692,451,306,224,0
7,15,2,10386,6416,2942,660,368,0
7,16,1,9807,7889,1198,419,301,0
7,17,1,11474,9781,1046,462,185,0
7,17,3,18629,9321,4736,2431,2141,0
7,18,1,3027,2387,557,74,9,0
7,18,2,4095,3027,883,155,30,0
7,19,1,6974,5758,570,367,279,0
7,19,5,12222,5920,3152,1844,1306,0
7,20,1,8802,7741,580,255,226,0
7,20,2,12970,6112,3436,1744,1678,0
7,21,1,3885,3144,543,122,76,0
7,22,4,35822,17812,8067,5260,4683,0
7,23,1,1996,1353,316,146,180,1
7,24,1,1197,577,190,207,223,0
7,24,3,1579,434,493,399,253,0
8,1,9,1905,533,564,391,412,5
8,1,11,153,17,41,21,74,0
8,1,12,1298,152,421,270,454,1
8,1,15,170,11,23,28,108,0
8,2,2,13697,12009,1188,322,178,0
8,2,3,10970,4973,4597,1061,339,0
8,3,2,25659,23461,1857,305,36,0
8,3,3,9339,3345,3645,1860,489,0
8,3,6,2449,840,1153,413,43,0
8,3,9,3608,999,1470,935,204,0
8,4,2,34398,30628,2715,691,364,0
8,4,4,20105,9553,6592,2654,1305,1
8,5,3,23285,20774,2089,352,70,0
8,5,4,16202,7528,5027,3071,576,0
8,6,2,30663,25634,2953,1315,761,0
8,6,3,30804,11274,9878,5984,3668,0
8,6,6,1368,442,573,204,149,0
8,6,8,114,50,24,13,27,0
8,6,11,385,2,20,156,207,0
8,6,13,306,238,32,9,27,0
8,7,2,10598,9114,928,362,192,2
8,7,3,6925,3570,2589,535,231,0
8,9,1,462,173,117,74,98,0
8,9,2,23917,18202,3628,1434,653,0
8,9,3,31878,6777,11485,8029,5585,2
8,9,8,292,34,58,38,161,1
8,10,1,34761,30273,2756,1083,649,0
8,10,3,19965,8573,4454,3748,3186,4
8,10,4,816,117,337,158,204,0
8,11,1,17064,14039,2067,670,288,0
8,11,3,10651,3758,3922,1921,1049,1
8,12,2,12478,10229,1331,518,400,0
8,12,3,7179,1809,2426,1779,1165,0
8,12,5,587,54,207,129,197,0
8,13,1,17693,12367,3046,1471,807,2
8,13,3,19725,7862,8629,2049,1184,1
8,13,5,171,151,15,5,0,0
8,13,6,4052,705,1317,1139,891,0
8,14,1,14170,12200,1178,535,257,0
8,14,3,8103,2173,3245,1754,931,0
8,15,3,8121,6806,867,234,214,0
8,15,4,5637,2341,2372,724,200,0
8,16,2,12065,2792,3581,2880,2811,1
8,16,4,2255,460,651,527,617,0
8,17,4,10546,3086,4225,2418,817,0
8,17,5,3933,3661,228,38,6,0
8,17,7,3568,1681,1334,477,76,0
8,17,9,311,34,73,69,135,0
8,18,3,16292,2571,5903,4861,2957,0
8,18,4,22940,16032,4670,1493,745,0
8,18,5,5862,1786,2384,1089,603,0
8,18,8,1061,126,355,210,370,0
8,19,2,10217,8899,660,293,365,0
8,19,3,4842,1105,1800,1099,838,0
8,20,1,5107,4371,512,158,66,0
8,20,3,5743,1733,1829,1190,991,0
8,21,2,13858,11551,1570,535,202,0
8,21,3,8610,2834,2917,1691,1166,2
8,22,2,6685,5020,904,399,362,0
8,22,3,8813,2426,3401,1755,1231,0
8,22,5,313,72,108,58,75,0
8,23,2,34838,28531,4047,1402,858,0
8,23,3,21829,8158,6537,3882,3252,0
8,24,1,17821,14969,1808,549,495,0
8,24,3,20497,7165,7860,3610,1862,0
8,25,1,7222,5686,1039,292,205,0
8,25,3,10879,4815,3417,1525,1122,0
8,26,1,14308,11081,1584,1022,621,0
8,26,2,14544,5477,5011,2643,1413,0
8,27,1,17762,14459,2160,775,368,0
8,27,2,12483,3815,4596,2324,1746,2
8,28,1,8449,2776,3015,1634,1023,1
8,28,2,32391,27497,3241,1147,506,0
8,29,1,20391,15838,2328,1365,860,0
8,29,3,14164,5463,3562,2358,2776,5
8,30,1,6641,5889,436,194,122,0
8,30,3,7751,1598,3072,1663,1418,0
8,30,4,1650,1149,170,65,266,0
8,30,5,1106,186,461,138,321,0
8,31,1,25013,22202,1772,728,311,0
8,31,4,365,40,118,161,46,0
8,33,1,3743,3330,200,107,106,0
8,33,2,1004,207,258,150,389,0
8,34,2,3342,561,1081,814,886,0
8,34,4,5248,2751,971,533,988,5
8,34,5,2708,614,824,533,737,0
8,35,1,8044,7603,215,74,152,0
8,35,2,1198,130,474,193,401,0
8,35,4,818,302,245,140,131,0
8,36,1,2626,2301,162,59,104,0
8,36,2,723,137,238,109,239,0
8,36,5,426,59,124,70,173,0
8,37,1,242,147,47,14,34,0
8,37,2,476,53,159,88,175,1
8,38,1,4773,3750,509,206,308,0
8,38,2,2554,404,724,426,1000,0
8,38,5,1337,202,461,348,326,0
8,39,1,2108,1688,259,64,97,0
8,39,2,1993,400,632,323,638,0
9,1,11,5956,4515,1070,278,93,0
9,1,12,4388,2701,1301,254,132,0
9,1,22,1266,655,425,149,37,0
9,1,26,1743,702,676,284,81,0
9,1,27,3113,1863,1024,162,64,0
9,1,31,1301,513,396,207,185,0
9,2,11,10090,7422,1900,463,305,0
9,2,17,19738,8804,7143,2620,1171,0
9,2,20,1866,1081,706,77,2,0
9,2,21,2112,848,908,320,36,0
9,2,26,2764,1164,1118,391,91,0
9,2,27,3739,1204,1489,603,443,0
9,2,30,1903,1156,590,123,34,0
9,2,31,1951,769,746,264,172,0
9,2,38,2147,857,1010,211,69,0
9,2,39,1792,813,739,201,39,0
9,2,44,1610,878,518,153,61,0
9,2,45,2256,1015,970,250,21,0
9,2,50,156,8,98,33,16,1
9,2,54,143,8,52,38,45,0
9,2,61,153,11,60,47,35,0
9,3,4,5102,3129,1429,469,75,0
9,3,5,2485,1231,883,286,85,0
9,3,9,1644,852,480,137,175,0
9,3,12,1206,521,481,158,46,0
9,3,13,1617,833,528,209,47,0
9,3,16,1184,763,359,42,20,0
9,3,17,1883,850,569,231,233,0
9,3,21,299,122,132,40,5,0
9,3,22,1596,686,515,306,89,0
9,4,14,137314,113946,18138,3150,2080,0
9,4,15,79301,30989,31413,12786,4112,1
9,4,24,3098,2791,248,47,12,0
9,4,30,4845,1349,1775,1209,511,1
9,4,31,20490,10922,8860,530,178,0
9,4,32,5620,2978,2284,332,26,0
9,5,7,5587,4439,917,148,83,0
9,5,10,2472,1272,880,207,113,0
9,5,14,1721,1156,444,101,20,0
9,5,15,2168,1256,709,159,44,0
9,5,18,1487,640,585,191,71,0
9,5,21,2980,1581,833,311,255,0
9,6,8,11281,8346,2301,514,120,0
9,6,11,9252,4564,3397,1010,281,0
9,6,14,536,322,192,17,5,0
9,6,18,1653,978,539,123,13,0
9,6,19,272,177,84,9,2,0
9,6,20,1581,1031,446,88,16,0
9,6,22,1407,727,566,111,3,0
9,6,28,291,69,132,44,46,0
9,7,11,6828,5375,1189,177,87,0
9,7,14,15165,8038,4745,1698,684,0
9,7,23,1344,776,486,72,10,0
9,7,24,1496,843,519,116,18,0
9,7,26,1666,842,721,98,5,0
9,7,27,2882,1772,910,189,11,0
9,7,32,2049,711,934,359,45,0
9,7,33,3735,1925,1331,356,123,0
9,7,38,2084,1168,606,265,45,0
9,7,42,1896,896,754,152,94,0
9,7,44,1727,1121,522,72,12,0
9,7,47,350,309,41,0,0,0
9,8,11,2534,1673,676,149,36,0
9,8,12,2955,1803,864,200,88,0
9,8,18,3439,2389,859,89,102,0
9,8,19,220,106,70,18,26,0
9,8,20,4307,2025,1584,352,346,0
9,8,22,3130,1368,970,522,270,0
9,8,23,312,164,124,24,0,0
9,8,26,2276,1438,696,134,8,0
9,8,27,126,71,48,6,1,0
9,8,28,2606,1874,618,97,17,0
9,8,32,3540,1786,1136,328,290,0
9,8,39,2191,1330,667,145,49,0
9,8,40,1875,1172,608,84,11,0
9,8,41,720,408,278,34,0,0
9,9,12,11887,9365,2038,374,110,0
9,9,13,11883,6848,3817,920,298,0
9,9,25,1429,546,665,205,13,0
9,9,26,1415,446,437,281,251,0
9,9,30,799,367,314,60,58,0
9,9,34,1284,628,521,131,4,0
9,9,36,955,715,220,16,4,0
9,9,40,602,456,133,13,0,0
9,9,44,798,532,212,48,6,0
9,9,48,384,218,132,25,9,0
9,10,5,8054,6918,871,148,117,0
9,10,6,5864,3504,1817,385,158,0
9,10,13,1915,1253,428,82,152,0
9,10,16,2508,1606,764,122,16,0
9,11,2,7408,6002,1200,160,46,0
9,11,6,6612,4060,1902,553,97,0
9,11,7,270,135,102,28,5,0
9,11,13,1342,1099,217,15,11,0
9,11,14,1941,1098,648,137,58,0
9,11,18,2252,1675,493,74,10,0
9,11,19,3107,2171,723,124,89,0
9,11,20,173,47,34,45,47,0
9,11,22,3456,2527,745,117,67,0
9,11,23,2966,1740,843,162,221,0
9,11,25,352,121,113,98,20,0
9,12,8,4962,2056,1950,710,246,0
9,12,10,7654,3872,2315,1078,389,0
9,12,13,2219,1176,603,269,171,0
9,12,17,1721,959,595,146,20,1
9,12,19,1754,713,593,287,161,0
9,12,21,1059,330,435,177,117,0
9,12,22,194,122,63,9,0,0
9,12,25,2018,1216,535,206,61,0
9,12,26,2710,1303,977,308,122,0
9,13,8,2665,1182,660,439,384,0
9,13,9,1598,625,701,221,51,0
9,13,12,2018,890,703,279,146,0
9,13,13,9455,5744,2390,1079,242,0
9,13,14,12075,5560,4215,1560,740,0
9,13,25,2921,1028,1206,432,255,0
9,13,26,3188,2017,919,222,30,0
9,13,29,4160,1701,1439,698,322,0
9,13,30,936,333,436,125,42,0
9,13,31,3436,1238,1055,519,623,1
9,14,9,11171,8326,2137,464,244,0
9,14,10,13350,6014,5881,1052,403,0
9,14,14,3850,1715,1476,435,224,0
9,14,15,9381,4221,2994,1675,491,0
9,14,16,228,88,104,33,3,0
9,14,20,1404,627,599,147,31,0
9,14,21,3517,1790,1290,300,137,0
9,14,22,167,77,64,14,12,0
9,14,26,1376,1055,257,58,6,0
9,14,27,1956,988,753,200,15,0
9,14,28,3809,1925,1276,437,170,1
9,14,29,146,89,46,11,0,0
9,14,36,1922,954,696,188,84,0
9,14,37,174,112,54,6,2,0
9,18,2,11284,6950,2574,856,904,0
9,18,3,6419,3006,2096,799,518,0
9,18,11,2579,1452,669,246,212,0
9,18,12,559,311,215,29,4,0
9,18,13,3166,2022,901,182,61,0
9,18,14,4380,1655,1431,771,523,0
9,18,19,1811,1102,290,153,266,0
9,18,20,1037,431,344,113,149,0
9,18,22,534,142,278,52,61,1
9,19,9,6593,5338,1036,176,43,0
9,19,10,3537,1724,1137,337,339,0
9,19,11,362,129,179,19,34,1
