,state_code,year,dist_code,total_judge_days,avg_judge_count
139,3,2014,19,7914,21.682191780821917
140,3,2014,7,3394,9.2986301369863
141,3,2014,22,10589,29.01095890410959
142,3,2014,26,14514,39.76438356164383
143,3,2014,6,5178,14.186301369863013
144,3,2014,28,7225,19.794520547945204
145,3,2014,15,10928,29.93972602739726
146,3,2014,18,11898,32.5972602739726
147,3,2014,16,5183,14.2
148,3,2014,10,8592,23.53972602739726
149,3,2014,30,1629,4.463013698630137
150,3,2015,3,7231,19.81095890410959
151,3,2015,4,11262,30.854794520547944
152,3,2015,1,20419,55.942465753424656
153,3,2015,2,8559,23.44931506849315
154,3,2015,20,43725,119.79452054794521
155,3,2015,21,10566,28.947945205479453
156,3,2015,12,9509,26.052054794520547
157,3,2015,5,5724,15.682191780821919
158,3,2015,27,3641,9.975342465753425
