year,state_code,dist_code,court_no,mean_days,median_days
2010,6,6,2,433.1677419354839,419.0
2010,6,7,2,440.64606741573033,419.0
2010,6,8,2,702.5734939759036,692.0
2010,6,9,3,379.40625,349.0
2010,6,10,2,520.6572438162544,425.0
2010,6,11,2,625.8717948717949,557.0
2010,6,12,1,1022.5263157894736,885.0
2010,6,13,1,700.8922155688623,683.0
2010,6,15,1,437.46666666666664,383.0
2010,6,16,1,1020.9690721649484,977.0
2010,6,17,1,413.35714285714283,416.0
2010,6,18,1,599.7352941176471,335.0
2010,6,20,1,482.03401360544217,412.0
2010,6,21,1,809.0657894736842,816.5
2010,6,22,1,721.4883720930233,709.0
2010,6,23,2,2416.0,2477.5
2010,6,24,3,2537.0,2537.0
2010,6,26,1,2777.8207547169814,2777.0
2010,6,27,1,2683.0,2683.0
2010,6,1,4,510.3431952662722,205.0
2010,6,19,1,642.6976744186046,650.5
2010,6,3,8,2789.5714285714284,2815.0
2010,6,6,7,645.0234375,631.0
2010,6,16,8,2493.0,2502.5
2010,6,20,8,1690.142857142857,1672.0
2010,6,23,6,3033.0,3033.0
2010,6,25,6,3017.4285714285716,3046.0
2010,6,1,8,540.2833438353288,315.0
2010,6,2,5,688.292372881356,623.0
2010,6,3,4,666.6082725060827,553.0
2010,6,4,5,474.59609455292906,409.0
2010,6,5,4,616.609597924773,544.0
2010,6,6,4,546.7972508591065,419.0
2010,6,7,4,527.2734436564224,475.0
2010,6,8,5,700.6134067952249,660.0
2010,6,9,6,496.6834862385321,433.0
2010,6,10,4,508.40221606648197,457.0
2010,6,11,4,741.4110429447853,646.0
2010,6,12,4,1002.8046272493573,967.5
2010,6,13,4,820.2020979020979,788.5
2010,6,15,3,507.2470588235294,430.0
2010,6,16,3,1088.1577540106953,1045.0
2010,6,17,2,480.5545023696682,446.0
2010,6,18,3,685.6422505307855,685.5
2010,6,20,3,596.3730385164051,490.5
2010,6,21,2,923.521186440678,844.5
2010,6,22,3,1060.7279411764705,881.0
2010,6,23,4,2522.722222222222,2507.0
2010,6,24,2,1406.9583333333333,1280.0
2010,6,25,2,2963.8,2976.5
2010,6,26,3,2803.385542168675,2825.0
2010,6,28,3,3001.1666666666665,3002.0
2010,6,19,3,762.296875,717.5
2010,7,1,2,508.6341463414634,446.0
2010,7,2,2,820.1260273972603,796.0
2010,7,3,1,1289.65,797.5
2010,7,4,2,955.40625,778.0
2010,7,5,1,1550.6818181818182,1681.0
2010,7,6,2,867.3962962962963,787.5
2010,7,7,2,2301.4242424242425,2453.0
2010,7,8,4,1736.0,2026.0
2010,7,9,4,1987.4833333333333,1701.0
2010,7,10,1,1467.3947368421052,1229.5
2010,7,11,1,1035.1201716738196,916.0
2010,7,12,1,622.1165048543689,601.0
2010,7,14,1,1213.1846153846154,1225.0
2010,7,15,1,1235.361111111111,1335.0
2010,7,17,1,1626.9066666666668,1673.0
2010,7,18,1,1987.75,1680.0
2010,7,19,1,259.877444589309,24.0
2010,7,20,1,1672.9529411764706,1580.0
