,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
127,2014,1,14,7,NI,21,452.0,547.4285714285714,4,14,3,0,0
128,2014,1,14,8,NI,52,354.0,581.4807692307693,30,11,11,0,0
129,2014,1,14,9,NI,3,520.0,508.6666666666667,0,3,0,0,0
130,2014,1,14,10,NI,27,303.0,501.1111111111111,14,8,5,0,0
131,2014,1,14,13,NI,21,607.0,560.5238095238095,7,13,1,0,0
132,2014,1,14,14,NI,4,310.0,301.0,3,1,0,0,0
133,2014,1,14,15,NI,29,591.0,815.7931034482758,1,20,7,1,0
134,2014,1,14,16,NI,358,674.5,767.8631284916202,105,150,97,6,0
135,2014,1,14,18,NI,34,492.5,695.1470588235294,14,10,10,0,0
136,2014,1,14,19,NI,45,674.0,812.0666666666667,8,23,14,0,0
137,2014,1,14,20,NI,34,485.0,644.2058823529412,13,15,5,1,0
138,2014,1,14,21,NI,9,509.0,538.0,3,6,0,0,0
139,2014,1,14,22,NI,29,605.0,756.5862068965517,8,13,8,0,0
140,2014,1,15,2,NI,11,220.0,386.27272727272725,7,3,1,0,0
141,2014,1,15,4,NI,284,506.5,647.4330985915493,106,123,54,1,0
142,2014,1,15,5,NI,20,451.0,585.35,2,15,3,0,0
143,2014,1,15,6,NI,12,324.0,444.6666666666667,8,3,1,0,0
144,2014,1,15,10,NI,7,376.0,404.42857142857144,3,4,0,0,0
145,2014,1,15,11,NI,12,737.0,837.9166666666666,3,6,2,1,0
146,2014,1,15,12,NI,27,251.0,329.9259259259259,18,8,1,0,0
147,2014,1,15,13,NI,21,487.0,574.3809523809524,9,10,2,0,0
148,2014,1,15,14,NI,18,594.5,515.2777777777778,4,14,0,0,0
149,2014,1,15,15,NI,27,350.0,421.0740740740741,15,9,3,0,0
150,2014,1,15,16,NI,2,828.0,828.0,1,0,1,0,0
151,2014,1,15,17,NI,12,427.5,444.5833333333333,4,8,0,0,0
152,2014,1,15,18,NI,6,868.5,752.1666666666666,1,3,2,0,0
153,2014,1,15,21,NI,1,1083.0,1083.0,0,1,0,0,0
154,2014,1,15,22,NI,27,683.0,635.1111111111111,2,24,1,0,0
155,2014,1,15,25,NI,13,287.0,434.84615384615387,9,2,2,0,0
156,2014,1,15,26,NI,4,676.5,673.25,2,0,2,0,0
157,2014,1,15,27,NI,10,573.5,674.0,1,8,1,0,0
158,2014,1,17,1,NI,14,770.5,844.2142857142857,3,5,6,0,0
159,2014,1,17,2,NI,374,468.5,582.0989304812834,115,210,49,0,0
160,2014,1,17,4,NI,2,780.0,780.0,1,0,1,0,0
161,2014,1,17,6,NI,58,894.0,839.0,15,25,17,1,0
162,2014,1,17,7,NI,1,863.0,863.0,0,1,0,0,0
163,2014,1,17,9,NI,45,530.0,568.9111111111112,14,26,5,0,0
164,2014,1,17,10,NI,1,249.0,249.0,1,0,0,0,0
165,2014,1,17,12,NI,81,241.0,507.2716049382716,46,22,13,0,0
166,2014,1,17,13,NI,147,634.0,800.2312925170068,23,84,40,0,0
167,2014,1,17,14,NI,26,384.5,462.9230769230769,9,15,2,0,0
168,2014,1,17,15,NI,159,474.0,755.440251572327,57,48,54,0,0
169,2014,1,17,16,NI,49,331.0,385.53061224489795,28,21,0,0,0
170,2014,1,17,17,NI,86,454.0,579.5116279069767,24,53,9,0,0
171,2014,1,17,18,NI,33,566.0,598.030303030303,9,21,3,0,0
172,2014,1,17,19,NI,14,598.5,732.9285714285714,3,7,4,0,0
173,2014,1,17,20,NI,1,1087.0,1087.0,0,1,0,0,0
174,2014,1,17,21,NI,11,1089.0,1086.1818181818182,0,6,5,0,0
175,2014,1,17,22,NI,3,1093.0,1288.0,0,2,1,0,0
176,2014,1,18,1,NI,1,897.0,897.0,0,1,0,0,0
177,2014,1,18,2,NI,499,641.0,766.1823647294589,107,255,133,4,0
178,2014,1,18,4,NI,97,452.0,595.0618556701031,25,60,12,0,0
179,2014,1,18,5,NI,156,399.5,522.4294871794872,20,121,15,0,0
180,2014,1,18,6,NI,72,461.0,506.90277777777777,15,53,4,0,0
181,2014,1,18,7,NI,50,549.5,583.08,12,34,4,0,0
182,2014,1,18,8,NI,30,602.0,621.2333333333333,5,22,3,0,0
183,2014,1,18,9,NI,31,510.0,611.1290322580645,7,23,1,0,0
184,2014,1,18,10,NI,48,476.0,566.0208333333334,13,32,3,0,0
185,2014,1,19,1,NI,227,603.0,641.7797356828194,25,178,24,0,0
186,2014,1,19,2,NI,60,537.0,634.5166666666667,16,36,8,0,0
187,2014,1,19,3,NI,1903,540.0,652.433000525486,673,856,372,2,0
188,2014,1,19,6,NI,186,728.0,792.6075268817204,29,115,42,0,0
189,2014,1,19,7,NI,127,587.0,598.0314960629921,35,81,10,1,0
190,2014,1,19,8,NI,63,290.0,292.968253968254,45,18,0,0,0
191,2014,1,19,10,NI,154,393.0,478.9220779220779,71,73,10,0,0
192,2014,1,19,11,NI,40,679.5,621.225,11,24,5,0,0
193,2014,1,19,12,NI,26,552.5,670.1153846153846,11,11,4,0,0
194,2014,1,19,14,NI,3,371.0,285.0,1,2,0,0,0
