state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries
3.0,23.0,1.0,4865.0,2.870206489675516,468.1333333333333,371.0,15.0,15.0
3.0,29.0,1.0,19632.0,5.9744370054777844,385.910447761194,46.0,67.0,67.0
3.0,30.0,1.0,268.0,0.10970118706508392,8.64516129032258,11.0,31.0,31.0
3.0,20.0,3.0,2147.0,0.9342906875543951,191.8,83.0,15.0,15.0
3.0,20.0,7.0,2412.0,0.9995855781185247,392.875,346.5,8.0,8.0
3.0,20.0,2.0,2314.0,0.9991364421416234,609.0,270.0,5.0,5.0
3.0,20.0,8.0,2309.0,0.9969775474956822,506.6666666666667,458.0,6.0,6.0
4.0,1.0,1.0,28154.0,8.567863664029215,432.48837209302326,178.0,86.0,86.0
4.0,2.0,1.0,143331.0,43.61868533171029,465.28316326530614,318.0,392.0,392.0
4.0,3.0,1.0,15678.0,6.462489694971146,422.078431372549,216.0,51.0,51.0
4.0,4.0,1.0,52660.0,16.71746031746032,602.6574074074074,427.0,108.0,108.0
4.0,5.0,1.0,81353.0,24.757455873402314,587.7142857142857,426.5,182.0,182.0
4.0,6.0,1.0,70323.0,21.400791235544734,414.13953488372096,220.0,215.0,215.0
4.0,7.0,1.0,47552.0,14.471089470480829,563.1809523809524,329.0,105.0,105.0
4.0,8.0,1.0,56086.0,17.068167985392574,616.439024390244,539.0,123.0,123.0
4.0,9.0,1.0,81654.0,25.24860853432282,495.26605504587155,364.0,218.0,218.0
4.0,10.0,1.0,65553.0,19.94917833231893,506.0473372781065,354.0,169.0,169.0
4.0,11.0,1.0,56161.0,17.09099208764455,453.3071895424837,291.0,153.0,153.0
4.0,12.0,1.0,32361.0,10.006493506493506,498.3809523809524,295.0,84.0,84.0
4.0,13.0,1.0,2545.0,1.4988221436984688,2003.5,2003.5,2.0,2.0
4.0,16.0,1.0,39164.0,11.918441874619598,481.1592920353982,363.0,113.0,113.0
4.0,1.0,4.0,3679.0,1.5233954451345755,514.1,371.5,10.0,10.0
4.0,2.0,4.0,11246.0,3.4223980523432744,523.4285714285714,376.0,28.0,28.0
4.0,3.0,4.0,4225.0,1.44741349777321,437.46153846153845,356.0,13.0,13.0
4.0,4.0,4.0,5471.0,1.6649421789409617,962.3636363636364,263.0,11.0,11.0
4.0,7.0,5.0,3280.0,0.9981740718198417,470.6666666666667,333.0,9.0,9.0
4.0,8.0,4.0,3141.0,0.9971428571428571,774.4,733.0,5.0,5.0
4.0,9.0,4.0,4740.0,1.8757419865453107,620.2,522.5,10.0,10.0
4.0,12.0,4.0,1878.0,0.6728771049802938,372.7142857142857,298.0,7.0,7.0
4.0,16.0,2.0,2260.0,0.9903593339176161,332.3333333333333,297.0,9.0,9.0
4.0,2.0,5.0,4807.0,1.4628727936701156,384.3529411764706,236.0,17.0,17.0
4.0,3.0,5.0,3800.0,1.8527547537786446,584.6666666666666,446.0,9.0,9.0
4.0,9.0,5.0,5617.0,1.7831746031746032,416.4117647058824,212.0,17.0,17.0
5.0,1.0,1.0,3922.0,1.5532673267326733,873.5714285714286,733.0,7.0,7.0
5.0,2.0,1.0,25176.0,10.672318779143705,841.4722222222222,871.5,36.0,36.0
