,state_code,dist_code,court_no,transfers_in,transfers_out,avg_judge_count
128,1.0,7.0,20.0,18.0,0.0,7.019915951032341
129,1.0,7.0,21.0,6.0,0.0,5.231010180109632
130,1.0,7.0,22.0,26.0,0.0,12.73805202661827
131,1.0,7.0,23.0,12.0,0.0,5.161337474876667
132,1.0,7.0,24.0,3.0,0.0,2.7106420404573437
133,1.0,7.0,27.0,17.0,0.0,8.609915611814346
134,1.0,7.0,28.0,42.0,0.0,18.48614659068579
135,1.0,7.0,29.0,1.0,0.0,1.0
136,1.0,7.0,30.0,35.0,0.0,18.26027397260274
137,1.0,7.0,31.0,8.0,0.0,5.996493278784337
138,1.0,7.0,32.0,12.0,0.0,5.876060191518468
139,1.0,7.0,33.0,2.0,0.0,1.9372509960159363
140,1.0,7.0,34.0,10.0,0.0,5.296910755148741
141,1.0,7.0,35.0,13.0,0.0,6.527461139896373
142,1.0,7.0,36.0,10.0,0.0,5.901751893939394
143,1.0,7.0,37.0,10.0,0.0,5.399854598327881
144,1.0,7.0,38.0,2.0,0.0,1.9372509960159363
145,1.0,7.0,39.0,13.0,0.0,8.925129533678756
146,1.0,7.0,40.0,9.0,0.0,6.350518134715026
147,1.0,7.0,41.0,1.0,0.0,1.0
148,1.0,7.0,42.0,7.0,0.0,2.4086041705805
149,1.0,7.0,43.0,8.0,0.0,4.978432043820609
150,1.0,7.0,44.0,8.0,0.0,4.391098484848484
151,1.0,7.0,45.0,8.0,0.0,3.778203490847169
152,1.0,7.0,46.0,3.0,0.0,1.9808836023789296
153,1.0,7.0,47.0,5.0,0.0,2.9315605928509156
154,1.0,7.0,48.0,7.0,0.0,4.967306015693112
155,1.0,7.0,49.0,3.0,0.0,2.8256290228203627
156,1.0,7.0,50.0,5.0,0.0,3.1427343078245915
157,1.0,7.0,51.0,6.0,0.0,3.59712
158,1.0,7.0,52.0,1.0,0.0,1.0
159,1.0,7.0,53.0,1.0,0.0,1.0
160,1.0,7.0,54.0,4.0,0.0,2.5643592677345537
161,1.0,7.0,55.0,5.0,0.0,2.99147332936744
162,1.0,7.0,58.0,6.0,0.0,2.4047326906222612
163,1.0,7.0,59.0,8.0,0.0,4.9024
164,1.0,7.0,60.0,4.0,0.0,2.8286852589641436
