state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count)
16,9,3,5543,2.63952381,859.4444444,799,9,9,"West Bengal","Purba Medinipur","Chief Judicial Magistrate, Tamluk",11299,8713,740,943.3370825,4280.696374
16,10,5,2532,1.38739726,665.6666667,633,6,6,"West Bengal","Purulia","Chief Judicial Magistrate",16080,4084,512,809.6537708,11590.04739
16,11,5,6067,2.493629264,750.9090909,924,11,11,"West Bengal","Howrah","Chief Judicial Magistrate",33797,10953,539,708.2927965,13553.33789
16,12,5,6538,2.590332805,873.1,814.5,10,10,"West Bengal","Murshidabad","Cheif Judicial Magistrate,Murshidabad",16866,13671,544,685.8458781,6511.132456
16,13,3,3640,1.846778285,846.3333333,739,6,6,"West Bengal","South Dinajpur","CJM , JM1 and JM2 Courts at Balurghat",13191,10462,25,257.117186,7142.709066
16,17,3,4111,1.609001957,619.2222222,812,9,9,"West Bengal","Darjeeling","Chief Judicial Magistrate",4857,3975,24,227.7989937,3018.64145
16,18,3,4570,2.504109589,614.8181818,544,11,11,"West Bengal","Purba Bardhaman","CHIEF JUDICIAL MAGISTRATE",9496,9169,19,304.5364816,3792.166302
16,19,2,1682,0.9994058229,804.3333333,972,3,3,"West Bengal","Bankura","Chief Judicial Magistrate",6710,5389,585,741.3716831,6713.989298
16,20,6,10362,4.257189811,819.3333333,971,18,18,"West Bengal","South Twenty Four Parganas","Chief Judicial Magistrate Establishment",15007,13896,405,647.0764968,3525.095348
16,21,4,4309,2.362390351,405.5625,320,16,16,"West Bengal","North Dinajpur","Chief Judicial Magistrate Raiganj",10408,5926,565.5,734.1788728,4405.707125
16,22,6,7426,3.357142857,796.0769231,685,13,13,"West Bengal","Nadia","Chief Judicial Magistrate",12773,8364,703,976.5261836,3804.723404
16,14,4,10970,3.76329331,1068.769231,1088,13,13,"West Bengal","North  Twenty Four Parganas","Barasat Chief Judicial Magistrate",19227,12536,187,392.8499521,5109.088879
16,2,9,5970,2.76516906,583.0714286,521,14,14,"West Bengal","Hooghly","ADDITIONAL CHIEF JUDICIAL MAGISTRATE , CHANDERNAGO",4885,4328,540,696.6404806,1766.618928
16,2,11,4335,1.781018899,1932.333333,1715,3,3,"West Bengal","Hooghly","ADDITIONAL CHIEF JUDICIAL MAGISTRATE,SERAMPORE",4741,4510,350,520.3512195,2661.9594
16,2,15,2540,0.9956879655,1090.333333,1196,3,3,"West Bengal","Hooghly","ADDL. CHIEF JUDICIAL MAGISTRATE",7772,4116,595.5,795.6017979,7805.658268
16,4,9,3548,1.992139248,715.7142857,801,7,7,"West Bengal","Jalpaiguri","Additional Chief Judicial Magistrate",6976,6073,428,635.1211922,3501.763247
16,6,11,963,0.9856704197,112.5333333,5,15,15,"West Bengal","Coochbehar","Addl. Chief Judicial Magistrate , Tufanganj",1163,795,834,977.6113208,1179.90758
16,6,14,1331,0.9977511244,687.3333333,764,3,3,"West Bengal","Coochbehar","Addl. Chief Judicial Magistrate , Mathabhanga",595,595,762,956.405042,596.3410969
16,7,7,5617,2.307723911,781,767.5,10,10,"West Bengal","Paschim Medinpur","acjm",398,391,327,520.1176471,172.4643048
16,7,10,1785,0.9983221477,629,530.5,4,4,"West Bengal","Paschim Medinpur","pmgarbacjm",1060,1057,282,463.9394513,1061.781513
16,7,13,4267,1.95733945,818.4285714,1207,7,7,"West Bengal","Paschim Medinpur","pmghatalacjmdb",1895,1808,347,660.8672566,968.1509257
16,7,19,1859,0.9951820128,1295,1295,2,2,"West Bengal","Paschim Medinpur","pmdantanacjm",1563,1090,785,982.133945,1570.566971
16,8,10,3459,1.937815126,984.2,1215,5,5,"West Bengal","Birbhum","ACJM",6461,6443,762,973.8581406,3334.167389
16,8,14,1860,1.038525963,863.6666667,957,3,3,"West Bengal","Birbhum","BOLPUR ACJM COURT",1278,1048,487,749.365458,1230.590323
16,9,7,6774,3.435091278,538.7777778,541.5,18,18,"West Bengal","Purba Medinipur","Addl. Chief Judicial Magistrate",4958,4653,454,720.3333333,1443.338648
16,9,12,4728,2.367551327,1031.666667,1146,6,6,"West Bengal","Purba Medinipur","Addl. Chief Judicial Magistrate, Haldia",5278,3978,747,966.6553544,2229.30753
16,11,10,1805,0.9994462901,507,569,5,5,"West Bengal","Howrah","Additinal Chief Judicial Magistrate Uluberia",9877,5259,710,966.803765,9882.472022
16,12,7,5243,2.67091187,572,504,13,13,"West Bengal","Murshidabad","Addl Chief Judicial Magistrate",9101,8363,624,827.3888557,3407.450505
16,12,14,4258,1.74938373,817.1428571,968,7,7,"West Bengal","Murshidabad","Addl. Cheif Judicial Magistrate",5228,4933,371,560.7166025,2988.480977
16,13,7,1961,0.9919069297,672.75,787.5,4,4,"West Bengal","South Dinajpur","ACJM and JM Court Buniadpur",10027,5305,190,579.5604147,10108.81132
16,14,8,8623,2.725347661,824.7857143,970.5,14,14,"West Bengal","North  Twenty Four Parganas","basirhat ACJM",7930,7112,422,587.3087739,2909.720515
16,14,11,7450,2.855500192,803.5833333,747.5,12,12,"West Bengal","North  Twenty Four Parganas","Barrackpore Addl. Chief Judicial Magistrate",6988,6626,781.5,976.7020827,2447.20698
16,14,15,2381,0.9991607218,1037.333333,1076,3,3,"West Bengal","North  Twenty Four Parganas","Addl. Chief Judicial Magistrate, Bongaon",3676,3656,414.5,644.1091357,3679.087778
16,18,19,1291,0.5299671593,1011,1011,2,2,"West Bengal","Purba Bardhaman","Additional Chief Judicial Magistrate",5712,5674,286,548.3577723,10778.02634
16,19,6,2172,0.9963302752,967.6666667,1090,3,3,"West Bengal","Bankura","Addl. Chief Judicial Magistrate,Khatra",2179,2173,144,417.4325817,2187.025783
