,year,state_code,dist_code,court_no,total_judge_count,median_tenure,mean_tenure,weighted_mean_tenure,avg_daily_judge_count
111,2018,1,11,3,1,1277.0,1277.0,1277.0,1.0
112,2010,1,12,1,3,2184.0,1938.6666666666667,2112.825848849945,2.5013698630136987
113,2011,1,12,1,4,1639.0,1727.5,1801.1177370030582,3.5835616438356164
114,2012,1,12,1,9,888.0,1049.7777777777778,1407.5359116022103,5.454794520547945
115,2013,1,12,1,8,976.5,1245.0,1299.0356435643564,6.917808219178083
116,2014,1,12,1,18,807.5,831.2777777777778,985.2026431718062,9.32876712328767
117,2015,1,12,1,15,841.0,869.2666666666667,903.0639486177046,9.81095890410959
118,2016,1,12,1,16,786.0,696.9375,862.2754260582736,9.967123287671233
119,2017,1,12,1,21,973.0,797.8571428571429,962.0317767339043,9.915068493150686
120,2018,1,12,1,14,1113.0,1033.142857142857,1160.6094137076796,9.953424657534246
121,2010,1,13,1,8,2009.0,1841.875,1881.2991551459293,7.134246575342466
122,2011,1,13,1,14,1148.0,1476.857142857143,1709.6067659838607,8.827397260273974
123,2012,1,13,1,14,938.5,1227.0,1444.7998256827432,9.430136986301369
124,2013,1,13,1,13,941.0,1221.3846153846155,1391.2579564489115,9.813698630136985
125,2014,1,13,1,15,952.0,1122.6,1319.212962962963,10.652054794520549
126,2015,1,13,1,19,941.0,1026.0,1152.7017261219792,11.904109589041097
127,2016,1,13,1,20,881.0,865.05,1006.6103717301517,11.93972602739726
128,2017,1,13,1,22,1067.5,880.2272727272727,1031.4314895570349,11.936986301369863
129,2018,1,13,1,16,1067.5,931.6875,1158.1179639105844,10.172602739726027
130,2012,1,13,13,2,730.0,730.0,730.0,1.1123287671232878
131,2013,1,13,13,2,730.0,730.0,730.0,2.0
132,2014,1,13,13,4,546.0,546.0,524.7692307692306,1.9945205479452057
133,2015,1,13,13,4,359.5,359.5,359.17032967032964,1.9945205479452057
