,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
843,22.0,4.0,1.0,25615.0,25282.0,83.0,252.16058856103157
844,22.0,9.0,1.0,25314.0,25085.0,105.0,258.82742674905325
845,22.0,11.0,1.0,34370.0,34111.0,91.0,245.22517662923983
846,22.0,15.0,1.0,24180.0,23653.0,104.0,212.33522174776985
847,22.0,16.0,1.0,37732.0,37192.0,97.0,234.93353409335342
848,22.0,17.0,1.0,47652.0,47162.0,109.0,274.7510707773207
849,22.0,18.0,3.0,42733.0,42400.0,137.0,295.0342216981132
850,22.0,19.0,1.0,59434.0,57873.0,76.0,251.04699946434434
851,22.0,21.0,1.0,16586.0,16538.0,190.0,321.89140162051035
852,22.0,24.0,1.0,39562.0,38988.0,143.0,281.9540114907151
853,22.0,26.0,1.0,30396.0,30048.0,108.0,259.46512247071354
854,23.0,1.0,1.0,204006.0,137154.0,321.0,567.4992198550534
855,23.0,2.0,1.0,46926.0,30311.0,247.0,416.93675563326843
856,23.0,3.0,1.0,32990.0,26131.0,342.0,484.5936626994757
857,23.0,3.0,7.0,116.0,54.0,1294.5,1232.351851851852
858,23.0,4.0,1.0,32194.0,24870.0,369.0,541.6878166465622
859,23.0,5.0,1.0,21307.0,15207.0,420.0,597.249358847899
860,23.0,6.0,1.0,19471.0,13943.0,371.0,522.9041095890411
861,23.0,7.0,1.0,33998.0,23865.0,250.0,398.6425728053635
862,23.0,8.0,1.0,10900.0,7257.0,225.0,399.17734601074824
863,23.0,9.0,1.0,23597.0,18970.0,350.0,475.5396942540854
864,23.0,10.0,1.0,68391.0,52046.0,225.0,370.39899319832455
865,23.0,11.0,1.0,30982.0,23893.0,283.0,464.9064998116603
866,23.0,12.0,1.0,23472.0,18403.0,413.0,607.0154322664783
867,23.0,13.0,1.0,32284.0,26091.0,185.0,392.18906902763405
868,23.0,14.0,1.0,24833.0,17135.0,354.0,555.7685439159615
869,23.0,15.0,1.0,51384.0,40811.0,286.0,517.6762637524197
870,23.0,16.0,1.0,17671.0,14911.0,284.0,545.5231708134934
871,23.0,17.0,1.0,22668.0,17375.0,420.0,659.9774964028777
872,23.0,18.0,1.0,24185.0,19409.0,221.0,392.1205111030965
873,23.0,19.0,1.0,30340.0,24314.0,335.0,575.6669408571194
874,23.0,20.0,1.0,71339.0,50388.0,288.0,471.93115424307376
875,23.0,21.0,1.0,41172.0,33126.0,426.0,643.141278753849
876,23.0,22.0,1.0,14157.0,11709.0,390.0,558.8296182423777
877,23.0,23.0,1.0,46162.0,38076.0,296.0,475.58086458661626
878,23.0,24.0,1.0,29983.0,25894.0,325.0,499.5266084807291
879,23.0,25.0,1.0,30735.0,23855.0,285.0,468.9494445608887
880,23.0,26.0,1.0,38797.0,26858.0,332.0,511.3033360637426
881,23.0,27.0,1.0,56087.0,44970.0,318.0,550.4449855459195
882,23.0,28.0,1.0,40986.0,31767.0,235.0,430.8759089621305
883,23.0,29.0,1.0,38030.0,34616.0,196.0,391.32837416223714
884,23.0,30.0,1.0,38317.0,32711.0,311.0,476.1754149980129
885,23.0,31.0,1.0,30256.0,20489.0,748.0,904.1687246815364
886,23.0,32.0,1.0,55869.0,48493.0,415.0,609.9000474295259
887,23.0,33.0,1.0,50082.0,25662.0,462.0,667.4220637518509
888,23.0,34.0,1.0,89835.0,58996.0,338.0,556.3036646552308
889,23.0,35.0,1.0,38797.0,32334.0,496.0,673.0767303766933
890,23.0,36.0,1.0,56957.0,47504.0,252.0,417.56462613674637
891,23.0,37.0,1.0,56011.0,37767.0,291.0,475.4796515476474
892,23.0,38.0,1.0,54196.0,36619.0,350.0,520.3244490565007
893,23.0,39.0,1.0,34650.0,30179.0,340.0,512.9943338082772
894,23.0,40.0,1.0,62866.0,47718.0,397.0,607.7348589630748
895,23.0,41.0,1.0,39118.0,30830.0,280.0,443.19004216672073
896,23.0,42.0,1.0,46496.0,37676.0,295.0,541.6831404607708
897,23.0,43.0,1.0,111303.0,89579.0,186.0,399.185936435995
898,23.0,44.0,1.0,179520.0,139888.0,229.0,448.60489820427773
899,23.0,45.0,1.0,107120.0,86147.0,340.0,559.8163836233415
900,23.0,46.0,1.0,76482.0,63267.0,391.0,656.4979057012345
901,23.0,47.0,1.0,376752.0,287732.0,271.0,488.34485562954416
902,23.0,48.0,1.0,10981.0,8807.0,757.0,937.0239582150562
903,23.0,49.0,1.0,26413.0,20235.0,350.0,514.1426241660489
904,23.0,50.0,1.0,350736.0,250194.0,179.0,392.385968488453
905,24.0,1.0,2.0,3229.0,3134.0,30.0,126.76930440331844
906,24.0,4.0,2.0,15052.0,13728.0,32.0,129.45673076923077
907,25.0,1.0,1.0,4140.0,3653.0,81.0,207.2518477963318
908,25.0,2.0,1.0,3412.0,2594.0,74.0,149.16461063993833
909,25.0,6.0,1.0,1365.0,612.0,66.0,178.01307189542484
910,26.0,1.0,1.0,33732.0,33152.0,103.0,267.4332166988417
911,26.0,2.0,1.0,26440.0,25870.0,50.0,244.40664862775415
912,26.0,3.0,1.0,38119.0,35716.0,162.0,335.9025086795834
913,26.0,4.0,1.0,51550.0,50027.0,92.0,272.0281248126012
914,26.0,5.0,1.0,54292.0,52751.0,99.0,270.3046956455802
