,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count,new_clearance_rate
159,2015,3,29,18285,13959,7446,0.40721903199343723,10839,0.7634126333059885
160,2015,3,17,20126,19168,10516,0.5225081983503925,9610,0.952399880751267
161,2015,3,13,20367,19321,10448,0.5129866941621251,9919,0.9486424117444886
162,2015,3,24,39194,34209,21800,0.5562075827932846,17394,0.8728121651273154
163,2015,3,14,26706,25013,15289,0.5724930727177413,11417,0.9366060061409421
164,2015,3,9,35377,33622,21161,0.5981569946575459,14216,0.950391497300506
165,2015,3,8,8442,7553,4394,0.5204927742241175,4048,0.8946932006633499
166,2015,3,23,54920,51753,34967,0.6366897305171159,19953,0.942334304442826
167,2015,3,11,23942,22356,13460,0.5621919639127892,10482,0.9337565783977947
168,2015,3,25,11681,11037,6579,0.5632223268555774,5102,0.9448677339268898
169,2015,3,19,19879,18132,9825,0.49424015292519746,10054,0.9121183158106545
170,2015,3,7,15023,14445,7373,0.4907808027690874,7650,0.9615256606536644
171,2015,3,22,34627,30812,16205,0.4679874086695353,18422,0.8898258584341698
172,2015,3,26,52409,40825,18220,0.3476502127497186,34189,0.7789692610047892
173,2015,3,6,21613,19298,10959,0.507055938555499,10654,0.8928885393050479
174,2015,3,28,15838,11916,6475,0.40882687207980806,9363,0.7523677231973734
175,2015,3,15,40326,35738,22381,0.5550017358527997,17945,0.8862272479293756
176,2015,3,18,45641,39045,25751,0.5642076203413597,19890,0.8554808176858526
177,2015,3,16,27229,26694,20217,0.7424804436446436,7012,0.9803518307686657
178,2015,3,10,20687,20886,11365,0.549378836950742,9322,1.00961956784454
179,2015,3,30,8870,7459,4980,0.5614430665163472,3890,0.840924464487035
180,2016,3,3,25808,20848,12735,0.4934516429014259,13073,0.8078115313081216
181,2016,3,4,30986,28466,17909,0.5779706964435551,13077,0.9186729490737753
182,2016,3,1,65382,57246,28458,0.43525741029641185,36924,0.8755620813067817
183,2016,3,2,21894,20250,11423,0.5217411162875674,10471,0.9249109345026034
184,2016,3,20,236101,207539,137105,0.5807048678319872,98996,0.8790263488930585
185,2016,3,21,53659,36999,24351,0.4538101716394268,29308,0.6895208632289085
186,2016,3,12,39850,35298,23580,0.5917189460476788,16270,0.8857716436637391
187,2016,3,5,31603,28449,17117,0.5416257950194602,14486,0.9001993481631491
188,2016,3,27,15027,12857,7761,0.5164703533639449,7266,0.8555932654555134
189,2016,3,29,19866,15196,8594,0.4325984093425954,11272,0.764924997483137
190,2016,3,17,20778,18497,10749,0.5173260179035518,10029,0.8902204254499951
191,2016,3,13,22345,17941,10832,0.48476169165361377,11513,0.8029089281718506
192,2016,3,24,41782,38269,22700,0.543296156239529,19082,0.9159207314154421
193,2016,3,14,24383,22246,13093,0.5369724808268056,11290,0.912356970020096
194,2016,3,9,32320,29935,19705,0.609684405940594,12615,0.9262066831683168
195,2016,3,8,9195,6972,4118,0.4478520935290919,5077,0.7582381729200652
196,2016,3,23,45986,40140,25069,0.5451441743139216,20917,0.872874353063976
197,2016,3,11,19856,17152,9036,0.45507655116841256,10820,0.8638195004029009
198,2016,3,25,9501,8988,4969,0.5229975792021893,4532,0.9460056836122513
199,2016,3,19,20308,18153,10037,0.4942387236557022,10271,0.8938841835729762
200,2016,3,7,13518,11909,6416,0.47462642402722294,7102,0.8809735167924249
201,2016,3,22,32022,27955,14458,0.4515020923115358,17564,0.8729935669227407
202,2016,3,26,61261,51899,28913,0.4719642186709326,32348,0.8471784659081635
203,2016,3,6,23104,19601,10868,0.47039473684210525,12236,0.8483812326869806
204,2016,3,28,14472,11944,5788,0.39994472084024324,8684,0.8253178551686015
205,2016,3,15,40687,37323,21505,0.5285472018089316,19182,0.917320028510335
206,2016,3,18,45873,39133,24657,0.5375057223203191,21216,0.8530726135199355
207,2016,3,16,27696,25915,19655,0.7096692663200462,8041,0.9356946851530907
208,2016,3,10,20239,17258,9832,0.4857947527051732,10407,0.8527101141360739
209,2016,3,30,8856,7478,4912,0.5546522131887985,3944,0.8443992773261066
210,2017,3,3,25426,22443,13458,0.5293007158027216,11968,0.8826791473295053
211,2017,3,4,28838,28334,15679,0.5436923503710382,13159,0.9825230598515847
212,2017,3,1,82444,76578,41708,0.5058949104846926,40736,0.9288486730386687
213,2017,3,2,26838,25745,15453,0.5757880617035547,11385,0.9592741634995157
214,2017,3,20,241041,226885,138401,0.5741803261685772,102640,0.9412714019606623
215,2017,3,21,53974,39067,25955,0.48087968281024196,28019,0.7238114647793382
216,2017,3,12,41885,39168,25459,0.6078309657395249,16426,0.935131908797899
217,2017,3,5,30653,30926,18038,0.5884578997161779,12615,1.0089061429550126
218,2017,3,27,15923,14584,7524,0.47252402185517806,8399,0.9159078063179049
219,2017,3,29,22615,20145,11251,0.49750165819146586,11364,0.8907804554499226
220,2017,3,17,20122,19074,10026,0.4982606102773084,10096,0.9479177020176921
221,2017,3,13,22139,20786,11166,0.5043588237951127,10973,0.9388861285514251
222,2017,3,24,45638,40988,25011,0.5480301503133354,20627,0.8981112231035541
223,2017,3,14,24643,23661,13735,0.5573590877734043,10908,0.9601509556466339
