state_code,dist_code,court_no,mean_days,median_days
1.0,32.0,2.0,28.76322103848738,24.0
1.0,33.0,2.0,17.6984126984127,8.0
1.0,34.0,3.0,68.45499043662464,58.0
1.0,35.0,12.0,28.917171632746875,19.0
1.0,23.0,1.0,111.4239691328011,66.0
1.0,23.0,3.0,157.1596065365699,60.0
1.0,23.0,6.0,124.0498660153662,80.0
1.0,23.0,9.0,251.8096870088804,145.0
1.0,23.0,10.0,73.49756330256305,46.0
1.0,23.0,15.0,321.3346114598472,138.0
2.0,2.0,1.0,51.33445065176909,28.0
2.0,3.0,1.0,98.03830550051892,45.0
2.0,4.0,1.0,79.15340422931182,41.0
2.0,5.0,1.0,66.47328411266065,45.0
2.0,5.0,17.0,169.79248120300753,80.0
2.0,7.0,1.0,57.556103760185394,41.0
2.0,10.0,1.0,100.12896561900546,51.0
2.0,11.0,6.0,69.67635847223261,35.0
2.0,15.0,1.0,92.68257877123193,43.0
2.0,17.0,1.0,94.55744757124933,35.0
2.0,19.0,1.0,149.06190208216094,69.0
2.0,20.0,1.0,139.93513072846912,62.0
2.0,21.0,1.0,135.3651039648715,67.0
2.0,23.0,1.0,99.77462599572567,44.0
2.0,2.0,16.0,96.71331367657065,37.0
2.0,2.0,26.0,142.62770758122744,76.0
2.0,3.0,5.0,103.03460424332576,52.0
2.0,3.0,19.0,210.71842783505156,41.0
2.0,4.0,3.0,96.55141080822573,53.0
2.0,4.0,6.0,87.73637621023514,50.0
2.0,4.0,22.0,253.59327377824488,63.0
2.0,4.0,34.0,106.05189873417721,48.0
2.0,5.0,23.0,81.19577227960605,53.0
2.0,5.0,32.0,206.3813104189044,97.0
2.0,7.0,14.0,84.20830629461389,36.0
2.0,7.0,15.0,226.03373015873015,75.0
2.0,7.0,27.0,96.42758620689655,35.0
2.0,10.0,6.0,240.21214814814815,98.0
2.0,10.0,15.0,121.44869169510808,50.0
2.0,10.0,30.0,169.01916495550992,83.0
2.0,11.0,1.0,84.21564619228398,54.0
