,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
134,2014,1,13,11,IPC,45,893.0,873.4666666666667,11,16,16,2,0
135,2014,1,13,12,IPC,227,756.0,797.7268722466961,77,78,68,4,0
136,2014,1,13,13,IPC,53,451.0,583.3018867924528,21,26,6,0,0
137,2014,1,13,15,IPC,197,709.0,743.6903553299493,54,93,49,1,0
138,2014,1,13,16,IPC,63,907.0,890.7777777777778,9,30,24,0,0
139,2014,1,13,17,IPC,36,674.5,692.4166666666666,8,22,6,0,0
140,2014,1,14,1,IPC,806,14.0,221.36228287841192,622,145,38,1,0
141,2014,1,14,2,IPC,1062,442.5,585.5725047080979,435,447,176,4,0
142,2014,1,14,4,IPC,115,793.0,784.1478260869566,25,57,32,1,0
143,2014,1,14,5,IPC,327,929.0,873.1957186544342,79,117,127,4,0
144,2014,1,14,6,IPC,51,1021.0,997.0392156862745,3,26,20,2,0
145,2014,1,14,7,IPC,361,650.0,679.0470914127424,104,186,70,1,0
146,2014,1,14,8,IPC,288,321.5,528.7361111111111,160,75,53,0,0
147,2014,1,14,9,IPC,139,561.0,658.1007194244604,44,70,25,0,0
148,2014,1,14,10,IPC,271,593.0,714.1586715867159,91,110,67,3,0
149,2014,1,14,11,IPC,1,16.0,16.0,1,0,0,0,0
150,2014,1,14,12,IPC,21,1217.0,1010.4285714285714,3,7,11,0,0
151,2014,1,14,13,IPC,205,996.0,901.9560975609756,39,83,83,0,0
152,2014,1,14,14,IPC,90,743.0,755.3333333333334,24,45,20,1,0
153,2014,1,14,15,IPC,257,1055.0,1003.8949416342413,33,101,122,1,0
154,2014,1,14,16,IPC,542,799.5,818.5461254612546,129,235,175,3,0
155,2014,1,14,17,IPC,11,786.0,878.2727272727273,1,5,5,0,0
156,2014,1,14,18,IPC,281,813.0,810.1352313167259,54,152,71,4,0
157,2014,1,14,19,IPC,209,924.0,889.2488038277512,50,79,75,5,0
158,2014,1,14,20,IPC,346,681.5,749.9393063583815,62,209,71,4,0
159,2014,1,14,21,IPC,202,952.5,886.8316831683169,42,79,80,1,0
160,2014,1,14,22,IPC,112,609.5,688.0535714285714,32,56,22,2,0
161,2014,1,15,1,IPC,145,1047.0,966.7724137931034,17,63,63,2,0
162,2014,1,15,2,IPC,980,16.0,195.16020408163266,808,106,66,0,0
163,2014,1,15,3,IPC,1,265.0,265.0,1,0,0,0,0
164,2014,1,15,4,IPC,562,618.0,733.0017793594307,217,146,193,6,0
165,2014,1,15,5,IPC,193,922.0,911.8652849740932,33,83,75,2,0
166,2014,1,15,6,IPC,132,770.5,801.5833333333334,41,44,46,1,0
167,2014,1,15,7,IPC,4,765.0,765.0,0,4,0,0,0
168,2014,1,15,8,IPC,87,17.0,188.2183908045977,76,8,3,0,0
169,2014,1,15,10,IPC,76,923.5,851.0921052631579,22,22,31,1,0
170,2014,1,15,11,IPC,108,1086.5,907.1018518518518,32,22,53,1,0
171,2014,1,15,12,IPC,146,763.0,703.027397260274,62,37,45,2,0
172,2014,1,15,13,IPC,133,505.0,645.2105263157895,56,40,36,1,0
173,2014,1,15,14,IPC,247,825.0,771.7408906882591,63,112,72,0,0
174,2014,1,15,15,IPC,188,606.5,664.5851063829788,63,89,34,2,0
175,2014,1,15,16,IPC,211,14.0,229.90521327014218,161,38,12,0,0
176,2014,1,15,17,IPC,173,899.0,866.664739884393,32,73,68,0,0
177,2014,1,15,18,IPC,95,534.0,568.4,40,39,16,0,0
178,2014,1,15,19,IPC,21,1893.0,1898.5238095238096,0,0,7,14,0
179,2014,1,15,20,IPC,119,12.0,291.6806722689076,92,12,15,0,0
180,2014,1,15,21,IPC,195,552.0,700.9179487179487,66,82,41,6,0
181,2014,1,15,22,IPC,147,751.0,806.4149659863946,54,35,57,1,0
182,2014,1,15,23,IPC,33,77.0,325.3636363636364,23,8,2,0,0
183,2014,1,15,25,IPC,132,445.5,537.9318181818181,52,63,16,1,0
184,2014,1,15,26,IPC,65,721.0,757.723076923077,19,23,22,1,0
185,2014,1,15,27,IPC,102,640.5,734.8039215686274,28,41,32,1,0
186,2014,1,17,1,IPC,1123,12.0,213.10151380231522,922,94,103,4,0
187,2014,1,17,2,IPC,1053,523.0,625.0,400,446,203,4,0
188,2014,1,17,4,IPC,41,669.0,591.7073170731708,14,20,7,0,0
189,2014,1,17,6,IPC,329,917.0,869.8449848024316,58,159,108,4,0
190,2014,1,17,7,IPC,366,14.0,176.2622950819672,303,46,17,0,0
191,2014,1,17,9,IPC,312,681.5,716.2435897435897,72,168,71,1,0
192,2014,1,17,10,IPC,359,17.0,271.59610027855155,274,44,41,0,0
193,2014,1,17,12,IPC,399,701.0,710.0100250626566,122,180,95,2,0
194,2014,1,17,13,IPC,290,786.0,797.7793103448275,79,106,103,2,0
195,2014,1,17,14,IPC,213,261.0,399.7464788732394,129,65,18,1,0
196,2014,1,17,15,IPC,226,329.0,499.49557522123894,120,74,32,0,0
197,2014,1,17,16,IPC,237,278.0,489.62025316455697,143,51,42,1,0
198,2014,1,17,17,IPC,200,911.0,849.705,45,78,74,3,0
199,2014,1,17,18,IPC,108,1061.5,988.925925925926,17,39,52,0,0
200,2014,1,17,19,IPC,98,750.5,853.3877551020408,14,51,33,0,0
201,2014,1,17,20,IPC,53,906.0,965.433962264151,0,35,18,0,0
202,2014,1,17,21,IPC,106,1362.0,1330.1415094339623,0,16,88,2,0
203,2014,1,17,22,IPC,71,1389.0,1309.9295774647887,0,18,53,0,0
204,2014,1,18,1,IPC,311,581.0,658.8585209003215,103,148,56,4,0
205,2014,1,18,2,IPC,765,809.0,836.2614379084968,159,359,237,10,0
206,2014,1,18,4,IPC,354,716.5,762.5451977401129,86,157,107,4,0
207,2014,1,18,5,IPC,344,675.0,700.7063953488372,91,184,69,0,0
208,2014,1,18,6,IPC,187,784.0,759.2513368983957,43,102,41,1,0
209,2014,1,18,7,IPC,244,676.0,689.1229508196722,67,127,49,1,0
210,2014,1,18,8,IPC,107,742.0,761.7943925233645,26,54,25,2,0
211,2014,1,18,9,IPC,112,432.0,572.7053571428571,45,50,16,1,0
212,2014,1,18,10,IPC,238,428.5,553.4411764705883,110,83,44,1,0
213,2014,1,19,1,IPC,408,707.5,736.5196078431372,109,194,105,0,0
214,2014,1,19,2,IPC,394,450.0,583.9086294416244,169,134,90,1,0
215,2014,1,19,3,IPC,2234,609.0,687.4189794091316,748,937,542,7,0
216,2014,1,19,4,IPC,1820,13.0,139.62307692307692,1603,127,86,4,0
217,2014,1,19,6,IPC,400,900.5,883.3375,89,162,144,5,0
218,2014,1,19,7,IPC,598,593.5,585.7642140468228,212,302,83,1,0
219,2014,1,19,8,IPC,102,588.0,657.8921568627451,29,56,17,0,0
220,2014,1,19,9,IPC,22,419.0,587.7727272727273,10,6,6,0,0
221,2014,1,19,10,IPC,408,931.5,892.1421568627451,76,175,156,1,0
