state_code,state_name,district_name,dist_code,court_no,court_name
14,Haryana,Panchkula,14,1,DISTRICT AND  SESSIONS COURTS
14,Haryana,Fatehabad,15,1,District  and Sessions Court
14,Haryana,Nuh,19,1,Session Court Complex Mewat
14,Haryana,Yamunanagar,20,1,Sessions Courts Yamunanagar
14,Haryana,Palwal,23,1,Sessions Courts Complex Palwal
5,Himachal Pradesh,Hamirpur,1,1,DISTRICT AND SESSIONS COURT HAMIRPUR
5,Himachal Pradesh,Kangra,2,1,District and Sessions Court
5,Himachal Pradesh,Una,4,1,District and Sessions Judge
5,Himachal Pradesh,Solan,5,1,District and Sessions Court
5,Himachal Pradesh,Solan,5,11,District  & Sessions Judge
5,Himachal Pradesh,Mandi,6,17,District and Sessions Court
5,Himachal Pradesh,Bilaspur,7,1,District and Sessions Court
5,Himachal Pradesh,Chamba,8,1,District and Sessions Judge Chamba
5,Himachal Pradesh,Kinnaur,9,2,District  and Sessions Judge
5,Himachal Pradesh,Kullu,10,1,District and Session Judge
5,Himachal Pradesh,Shimla,11,9,District and Sessions Judge Rohru
5,Himachal Pradesh,Shimla,11,10,District and Sessions Judge Shimla
5,Himachal Pradesh,Kinnaur,9,3,District & Sessions judge
12,Jammu and Kashmir,Kathua,1,2,Principal District Judge
12,Jammu and Kashmir,Udhampur,2,2,Pr. District Judge
12,Jammu and Kashmir,Baramulla,3,3,Principal District Judge
12,Jammu and Kashmir,Anantnag,4,2,Principal District Judge
12,Jammu and Kashmir,Pulwama,6,2,Principal District Judge
12,Jammu and Kashmir,Ganderbal,7,3,Principal District Judge
12,Jammu and Kashmir,Budgam,8,2,Principal District Judge
12,Jammu and Kashmir,Reasi,9,2,Principal District Judge
12,Jammu and Kashmir,Shopian,10,2,Principal District Judge Shopian
12,Jammu and Kashmir,Kupwara,11,2,Principal District Judge
12,Jammu and Kashmir,Kupwara,11,5,Principal District Judge
12,Jammu and Kashmir,Poonch,12,2,Pr Distt judge
12,Jammu and Kashmir,Rajouri,13,2,Principal District Judge
12,Jammu and Kashmir,Ramban,14,2,Principal District Judge
12,Jammu and Kashmir,Doda,15,2,Principal District Judge
