,state_code,dist_code,court_no,state_name,district_name,court_name
99,2,11,19,Andhra Pradesh,Krishna,XI Addl District Court
100,2,11,23,Andhra Pradesh,Krishna,XV ADDITIONAL DISTRICT AND SESSIONS COURT
101,2,15,1,Andhra Pradesh,Nellore,District and Sessions Courts
102,2,15,10,Andhra Pradesh,Nellore,VII Addl. District and Session Court
103,2,17,1,Andhra Pradesh,Prakasham,PRL. DISTRICT JUDGE COURT
104,2,17,22,Andhra Pradesh,Prakasham,VI Addl District and Sessions Court
105,2,19,1,Andhra Pradesh,Srikakulam,Prl. District Court
106,2,19,13,Andhra Pradesh,Srikakulam,VI Addl.District and Sessions Judge Court
107,2,20,1,Andhra Pradesh,Visakapatnam,PRINCIPAL DISTRICT  AND SESSIONS JUDGE
108,2,20,6,Andhra Pradesh,Visakapatnam,X Addl District and Session Judges Court
109,2,20,10,Andhra Pradesh,Visakapatnam,XIII ADDITIONAL DISTRICT JUDGE COURT AT
110,2,20,24,Andhra Pradesh,Visakapatnam,Additional District Court
111,2,21,1,Andhra Pradesh,Vizianagaram,PRINCIPAL DISTRICT JUDGE COURT
112,2,21,17,Andhra Pradesh,Vizianagaram,II Additional District and Sessions Court
113,2,23,1,Andhra Pradesh,West Godavari,Principal District and Sessions Court
114,2,23,6,Andhra Pradesh,West Godavari,III ADDL DISTRICT COURT BHIMAVARAM
115,2,23,13,Andhra Pradesh,West Godavari,X ADDL DISTRICT COURT NARSAPUR
116,2,23,20,Andhra Pradesh,West Godavari,IX Additional District and Sessions
117,2,23,23,Andhra Pradesh,West Godavari,ADDITIONAL DISTRICT COURT TANUKU
118,3,1,1,Karnataka,BELAGAVI,Prl.  District and Session Judge
119,3,2,1,Karnataka,BAGALKOT,PRL. DISTRICT AND SESSION JUDGE
120,3,3,1,Karnataka,VIJAYAPURA,PRL. DISTRICT AND SESSIONS COURT
121,3,4,1,Karnataka,KALABURAGI,Prl Dist and Sessions Court Kalaburagi
122,3,5,1,Karnataka,BIDAR,District and Sessions Court
123,3,6,1,Karnataka,RAICHUR,PRL DISTRICT AND SESSIONS JUDGE
124,3,8,1,Karnataka,GADAG,Prl District and Sessions Judge
125,3,9,1,Karnataka,DHARWAD,PRL. DISTRICT AND SESSIONS JUDGE
126,3,10,1,Karnataka,UTTARA KANNADA,PRL. DISTRICT AND SESSIONS JUDGE COURT
127,3,10,18,Karnataka,UTTARA KANNADA,1st ADDL. Dist AND SESSIONS JUDGE
128,3,11,1,Karnataka,HAVERI,Prl District and Sessions Judge
129,3,11,13,Karnataka,HAVERI,II Addl District and Sessions Judge
130,3,12,1,Karnataka,BALLARI,PRL DISTRICT AND SESSIONS JUDGE
131,3,12,16,Karnataka,BALLARI,III ADDL DISTRICT AND SESSIONS JUDGE
132,3,13,1,Karnataka,CHITRADURGA,Prl. District and Sessions Judge
133,3,14,1,Karnataka,DAVANGERE,PRL DISTRICT AND SESSION JUDGE
134,3,15,1,Karnataka,SHIVAMOGGA,Prl. District and Sessions Judge.
135,3,16,1,Karnataka,UDUPI,PRL. DISTRICT AND SESSIONS JUDGE
136,3,16,7,Karnataka,UDUPI,ADDL.DISTRICT AND SESSIONS JUDGE-SIT AT KUNDAPURA
137,3,17,1,Karnataka,CHIKKAMAGALURU,PRL.DISTRICT AND SESSIONS JUDGE
