,state_code,dist_code,court_no,state_name,district_name,court_name,median_decision_days
134,3,16,1,Karnataka,UDUPI,PRL. DISTRICT AND SESSIONS JUDGE,16.0
135,3,16,7,Karnataka,UDUPI,ADDL.DISTRICT AND SESSIONS JUDGE-SIT AT KUNDAPURA,351.5
136,3,17,1,Karnataka,CHIKKAMAGALURU,PRL.DISTRICT AND SESSIONS JUDGE,50.0
137,3,18,1,Karnataka,TUMAKURU,Prl. District and Sessions Judge,19.0
138,3,18,22,Karnataka,TUMAKURU,V Addl. District and Sessions Judge,38.0
139,3,18,23,Karnataka,TUMAKURU,IV Addl. District and Sessions Court,29.5
140,3,19,1,Karnataka,KOLAR,PRL.DISTRICT AND SESSIONS JUDGE,22.0
141,3,21,1,Karnataka,BENGALURU RURAL,PRL. DISTRICT AND SESSION JUDGE,27.0
142,3,21,5,Karnataka,BENGALURU RURAL,IV ADDL. DISTRICT AND SESSIONS JUDGE,39.0
143,3,21,13,Karnataka,BENGALURU RURAL,III Addl. District and Sessions Judge,18.0
144,3,21,18,Karnataka,BENGALURU RURAL,V ADDITIONAL DIST  SESSIONS JUDGE,17.0
145,3,22,1,Karnataka,MANDYA,PRL. DISTRICT AND SESSIONS JUDGE,11.0
146,3,22,18,Karnataka,MANDYA,III ADL DISTRICT AND SESSIONS JUDGE,20.0
147,3,23,1,Karnataka,HASSAN,Prl.District and Sessions Judge,43.0
148,3,24,9,Karnataka,DAKSHINA KANNADA,V ADDL.DISTRICT AND SESSIONS JUDGE,131.0
149,3,24,17,Karnataka,DAKSHINA KANNADA,PRL. DISTRICT  AND SESSIONS JUDGE,41.0
150,3,25,1,Karnataka,KODAGU,PRL. DISTRICT AND SESSIONS JUDGE,22.0
151,3,25,8,Karnataka,KODAGU,II Addl DISTRICT AND SESSIONS COURT VIRAJPET,278.0
152,3,26,3,Karnataka,MYSURU,PRL. DISTRICT AND SESSIONS JUDGE,96.0
153,3,27,8,Karnataka,CHAMRAJNAGAR,ADDL. DISTRICT AND SESSIONS COURT,170.0
154,3,29,1,Karnataka,CHIKKABALLAPUR,Prl. District and Sessions Court,23.0
155,3,29,7,Karnataka,CHIKKABALLAPUR,II ADDL DISTRICT AND SESSIONS,26.0
156,4,1,1,Kerala,Kasaragod,PRINCIPAL DISTRICT AND SESSIONS COURT,303.0
157,4,2,1,Kerala,Ernakulam,DISTRICT AND SESSIONS COURT,15.0
158,4,2,32,Kerala,Ernakulam,Vth Addl District Court,520.0
159,4,2,38,Kerala,Ernakulam,Addl District and Sessions Court N.Paravur,729.0
160,4,2,52,Kerala,Ernakulam,Additional District and Sessions Court-POCSO,342.5
161,4,3,1,Kerala,Kannur,District and Sessions Court,384.5
162,4,4,1,Kerala,Thrissur,DISTRICT COURT ESTABLISHMENT,86.0
163,4,4,10,Kerala,Thrissur,Addl. Dist. and Sessions Court/MACT Irinjalakuda,648.0
164,4,5,1,Kerala,Kozhikode,District and Sessions Court,245.0
165,4,5,12,Kerala,Kozhikode,Additional District and Sessions Court,554.0
166,4,5,24,Kerala,Kozhikode,Additional District and Sessions Court III,343.0
167,4,6,1,Kerala,Alappuzha,District and Sessions Court,363.0
168,4,6,21,Kerala,Alappuzha,ADDL.DISTRICT AND SESSIONS COURT-I MAVELIKARA,780.0
169,4,7,1,Kerala,Idukki,District and sessions court Thodupuzha,246.0
170,4,8,1,Kerala,Palakkad,DISTRICT AND SESSIONS COURT PALAKKAD,580.0
171,4,8,17,Kerala,Palakkad,Addl District  Sessions Court  MACT  Ottapalam,506.0
172,4,9,1,Kerala,Thiruvananthapuram,District and Sessions Court,139.0
173,4,9,22,Kerala,Thiruvananthapuram,Addl District and Sessions Court,788.5
174,4,10,19,Kerala,Kottayam,MACT / ADDL. DISTRICT AND SESSIONS COURT,515.0
175,4,11,1,Kerala,Malappuram,District and Sessions Court,107.0
176,4,12,1,Kerala,Pathanamthitta,DISTRICT AND SESSIONS COURT PATHANAMTHITTA,248.0
177,4,13,1,Kerala,Lakshadweep,District and Sessions Court,912.0
178,4,16,1,Kerala,Wayanad,DISTRICT COURT,202.0
179,5,1,1,Himachal Pradesh,Hamirpur,DISTRICT AND SESSIONS COURT HAMIRPUR,209.0
180,5,2,1,Himachal Pradesh,Kangra,District and Sessions Court,212.0
181,5,4,1,Himachal Pradesh,Una,District and Sessions Judge,161.0
182,5,5,1,Himachal Pradesh,Solan,District and Sessions Court,182.0
183,5,5,11,Himachal Pradesh,Solan,District  & Sessions Judge,258.0
184,5,6,17,Himachal Pradesh,Mandi,District and Sessions Court,137.0
185,5,7,1,Himachal Pradesh,Bilaspur,District and Sessions Court,79.0
186,5,7,2,Himachal Pradesh,Bilaspur,Addl. District and Session Court,238.5
187,5,8,1,Himachal Pradesh,Chamba,District and Sessions Judge Chamba,104.0
188,5,9,2,Himachal Pradesh,Kinnaur,District  and Sessions Judge,157.0
189,5,10,1,Himachal Pradesh,Kullu,District and Session Judge,82.0
190,5,11,9,Himachal Pradesh,Shimla,District and Sessions Judge Rohru,400.0
191,5,11,10,Himachal Pradesh,Shimla,District and Sessions Judge Shimla,135.0
192,6,1,4,Assam,Kamrup Metro,Dist Judge and Addl Dist Judges,28.0
193,6,2,2,Assam,Tinsukia,District and Sessions Judge,30.0
194,6,3,8,Assam,Sivasagar,Addl Dist and Sessions Judge,88.0
195,6,4,2,Assam,Morigaon,District and Sessions Judge,24.0
196,6,5,2,Assam,Lakhimpur,District and Sessions Judge,19.0
197,6,6,2,Assam,Sonitpur,District and Sessions Judge Sonitpur Tezpur,175.0
198,6,6,7,Assam,Sonitpur,Addl District and Sessions Judge,470.0
199,6,7,2,Assam,Dibrugarh,District and Sessions Judge,131.0
200,6,8,2,Assam,Darrang,District and Sessions Judge,453.5
201,6,9,3,Assam,Bongaigaon,District And Sessions Judge,252.0
202,6,10,2,Assam,Nagaon,District and Sessions Judge,15.0
203,6,10,8,Assam,Nagaon,Addl. District and Sessions Judge FTC,97.5
204,6,11,2,Assam,Jorhat,District and Sessions Judge,112.0
205,6,12,1,Assam,Karimganj,District and Sessions Judge Court Karimganj,190.0
206,6,13,1,Assam,Cachar,District And Sessions Judge Court,23.0
207,6,15,1,Assam,Nalbari,District and Sessions Judge,31.0
208,6,16,1,Assam,Dhubri,District and Sessions Judge,131.0
209,6,16,8,Assam,Dhubri,Additional District and Sessions Judge,126.5
210,6,17,1,Assam,Dhemaji,District and Sessions Judge,62.5
