,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
194,4.0,11.0,1.0,25368.0,25175.0,101.0,351.5771201588878
195,4.0,12.0,1.0,12010.0,11910.0,249.0,471.48127623845505
196,4.0,13.0,1.0,81.0,81.0,542.0,676.4814814814815
197,4.0,16.0,1.0,8685.0,8154.0,201.0,343.10289428501346
198,4.0,15.0,19.0,30083.0,29896.0,30.0,297.9340045491036
199,4.0,2.0,32.0,3158.0,3158.0,508.0,591.8448385053831
200,4.0,2.0,38.0,3003.0,3003.0,723.0,828.1834831834832
201,4.0,2.0,52.0,1228.0,1221.0,351.0,404.08026208026206
202,4.0,4.0,10.0,6491.0,6489.0,519.0,640.9392818616119
203,4.0,5.0,12.0,1154.0,1108.0,548.5,607.5974729241877
204,4.0,5.0,24.0,2760.0,2759.0,345.0,425.91446176150777
205,4.0,6.0,21.0,3836.0,3836.0,764.5,861.774504692388
206,4.0,8.0,17.0,5849.0,5849.0,506.0,591.5259018635664
207,4.0,9.0,22.0,871.0,867.0,854.0,977.39907727797
208,4.0,10.0,19.0,9598.0,9598.0,515.0,540.1303396540947
209,4.0,2.0,47.0,462.0,462.0,494.5,535.5995670995671
210,4.0,5.0,38.0,418.0,418.0,672.5,709.2248803827752
211,4.0,15.0,21.0,1921.0,1919.0,463.0,540.9228764981762
212,4.0,1.0,4.0,6733.0,6180.0,250.0,457.9226537216828
213,4.0,2.0,4.0,3352.0,2979.0,314.0,550.0057066129574
214,4.0,3.0,4.0,9323.0,9305.0,92.0,260.4311660397636
215,4.0,4.0,4.0,5863.0,3742.0,146.0,324.4706039551042
216,4.0,5.0,11.0,4884.0,4026.0,154.0,298.66890213611526
217,4.0,6.0,5.0,5278.0,5103.0,155.0,280.56241426611797
218,4.0,7.0,5.0,7043.0,6461.0,238.0,325.4507042253521
219,4.0,8.0,4.0,7384.0,5531.0,439.0,538.7007774362683
220,4.0,9.0,4.0,4357.0,4342.0,253.0,399.21165361584525
221,4.0,10.0,7.0,4138.0,3867.0,251.0,335.4416860615464
222,4.0,11.0,6.0,6561.0,4304.0,360.5,440.4179832713755
223,4.0,12.0,4.0,4009.0,3190.0,271.0,423.8783699059561
224,4.0,15.0,4.0,8302.0,7845.0,251.0,330.8433397068196
