year,state_code,dist_code,court_no,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2010,8.0,7.0,2.0,107,2017.0,2158.8598130841124,0,0,18,87,2
2010,17.0,19.0,18.0,254,1811.5,1788.5866141732283,0,8,127,119,0
2010,11.0,27.0,2.0,43,2028.0,2139.3255813953488,0,0,16,27,0
2010,18.0,6.0,10.0,1,3231.0,3231.0,0,0,0,1,0
2010,17.0,42.0,3.0,62,2983.0,2972.6451612903224,0,0,0,62,0
2010,9.0,23.0,3.0,49,2545.0,2549.734693877551,0,0,1,48,0
2010,13.0,74.0,7.0,3,3237.0,3336.3333333333335,0,0,0,3,0
2010,13.0,44.0,2.0,89,2669.0,2649.1685393258426,0,1,0,88,0
2010,13.0,56.0,2.0,35,2452.0,2424.8,0,0,7,28,0
2010,13.0,30.0,9.0,10,3087.0,3057.2,0,0,0,10,0
2010,17.0,31.0,1.0,1592,2213.0,2115.5628140703516,2,117,398,1075,0
2010,13.0,31.0,2.0,43,2379.0,2414.046511627907,0,1,10,32,0
2010,13.0,16.0,2.0,235,2615.0,2520.885106382979,0,0,14,221,0
2010,6.0,3.0,2.0,16,2237.5,1971.75,0,5,2,9,0
2010,13.0,52.0,2.0,89,2250.0,2137.067415730337,0,6,19,64,0
2010,13.0,13.0,2.0,11,2484.0,2514.909090909091,0,0,1,10,0
2010,13.0,26.0,2.0,179,2453.0,2365.5195530726255,1,13,17,148,0
2010,13.0,12.0,2.0,38,1755.0,1981.7631578947369,0,0,21,17,0
2010,12.0,4.0,4.0,8,2095.0,2160.25,0,0,0,8,0
2010,17.0,28.0,1.0,1429,445.0,1092.2064380685795,651,234,97,447,0
2010,17.0,23.0,1.0,527,2653.0,2551.2390891840605,0,1,43,483,0
2010,16.0,24.0,3.0,240,2649.0,2563.429166666667,0,0,42,198,0
2010,8.0,36.0,1.0,7,3192.0,3131.285714285714,0,0,0,7,0
2010,13.0,18.0,2.0,256,2540.0,2325.34765625,0,20,38,198,0
2010,16.0,22.0,5.0,77,2912.0,2830.4155844155844,0,0,1,76,0
2010,7.0,4.0,2.0,142,1847.0,1866.725352112676,0,35,36,71,0
2010,11.0,15.0,14.0,21,2562.0,2681.9523809523807,0,0,0,21,0
2010,13.0,64.0,2.0,60,2352.0,2329.133333333333,0,0,5,55,0
2010,1.0,37.0,2.0,8434,27.0,267.5503912734171,6510,1146,622,156,0
2010,13.0,51.0,2.0,29,2516.0,2594.310344827586,0,0,3,25,1
2010,13.0,73.0,1.0,68,2300.0,2243.426470588235,0,0,12,56,0
2010,3.0,15.0,18.0,4,2592.0,2341.0,0,0,1,3,0
2010,11.0,6.0,6.0,1,2265.0,2265.0,0,0,0,1,0
2010,13.0,54.0,2.0,78,2796.0,2762.076923076923,0,0,0,78,0
2010,17.0,16.0,19.0,247,975.0,1374.6194331983806,15,115,48,63,6
2010,8.0,6.0,2.0,581,2116.0,2122.3545611015493,0,5,205,371,0
2010,1.0,13.0,1.0,574,1012.0,1224.9076655052265,131,170,89,184,0
2010,8.0,38.0,1.0,47,3106.0,3117.7872340425533,0,0,0,47,0
2010,16.0,11.0,2.0,93,2280.0,2284.8924731182797,2,2,18,71,0
2010,16.0,10.0,2.0,34,2422.5,2390.5,0,0,4,30,0
2010,13.0,24.0,2.0,66,2252.0,2301.287878787879,1,0,6,59,0
2010,7.0,7.0,2.0,55,2705.0,2597.4,0,0,6,49,0
2010,13.0,56.0,3.0,201,2115.0,2156.1641791044776,0,4,30,167,0
2010,8.0,3.0,2.0,12,1881.0,2064.8333333333335,0,1,3,8,0
2010,16.0,7.0,2.0,201,2598.0,2387.766169154229,3,10,27,161,0
2010,13.0,60.0,2.0,76,2821.5,2673.2368421052633,0,0,3,73,0
2010,3.0,27.0,1.0,22,540.0,648.3181818181819,8,12,0,2,0
2010,3.0,18.0,23.0,31,1661.0,1687.6451612903227,0,0,18,13,0
2010,13.0,67.0,2.0,13,2123.0,2306.5384615384614,0,0,0,13,0
2010,11.0,15.0,3.0,26,2307.0,2386.9615384615386,0,0,4,22,0
2010,13.0,22.0,2.0,45,2271.0,2073.6,0,7,8,30,0
2010,4.0,15.0,19.0,853,590.0,734.5498241500586,299,345,157,52,0
2010,8.0,21.0,2.0,145,1919.0,2034.144827586207,0,0,67,78,0
2010,13.0,10.0,2.0,178,2517.5,2468.2921348314608,0,0,2,176,0
2010,11.0,8.0,2.0,38,1923.0,2156.657894736842,0,0,11,27,0
2010,13.0,15.0,2.0,92,2277.0,2336.3260869565215,0,0,10,82,0
2010,13.0,2.0,2.0,161,2472.0,2419.8260869565215,1,0,24,136,0
2010,13.0,36.0,2.0,20,2327.0,2303.5,0,0,3,17,0
2010,8.0,11.0,1.0,220,1832.5,1967.0454545454545,0,8,101,111,0
2010,11.0,13.0,8.0,2,2351.5,2351.5,0,0,0,2,0
2010,3.0,8.0,1.0,1091,400.0,425.0999083409716,530,497,44,20,0
2010,8.0,10.0,1.0,190,2407.5,2384.2368421052633,0,0,38,152,0
2010,11.0,4.0,13.0,4,2296.5,2312.5,0,0,0,4,0
2010,3.0,4.0,1.0,3914,32.0,182.46295350025548,3406,337,91,80,0
2010,7.0,11.0,1.0,452,1821.0,1876.6216814159293,0,64,164,224,0
2010,3.0,3.0,1.0,200,1091.0,1201.52,14,87,84,15,0
2010,13.0,63.0,2.0,40,2312.0,2410.8,0,0,6,34,0
2010,17.0,21.0,1.0,1316,1060.5,1297.7188449848024,250,425,237,404,0
2010,3.0,21.0,5.0,21,1527.0,1739.7619047619048,0,1,15,4,1
2010,16.0,12.0,2.0,96,2614.5,2467.2604166666665,1,0,17,77,1
2010,13.0,62.0,2.0,18,2361.5,2254.4444444444443,1,0,1,16,0
2010,13.0,54.0,3.0,147,2686.0,2603.374149659864,0,0,14,132,1
2010,13.0,30.0,2.0,183,2415.0,2362.9234972677596,0,2,32,149,0
2010,16.0,9.0,2.0,73,2183.0,2272.4109589041095,0,0,14,59,0
2010,24.0,2.0,3.0,21,1069.0,1085.857142857143,0,14,7,0,0
2010,13.0,3.0,2.0,81,2143.0,2159.9506172839506,0,0,15,66,0
2010,3.0,12.0,1.0,979,23.0,161.12768130745658,853,104,7,15,0
2010,3.0,24.0,17.0,144,1919.0,1986.8541666666667,0,0,54,90,0
2010,13.0,48.0,2.0,120,2435.5,2370.85,0,2,19,99,0
2010,13.0,2.0,3.0,192,2506.5,2431.421875,0,1,27,162,2
2010,13.0,39.0,2.0,45,1966.0,1973.4888888888888,0,0,17,28,0
2010,1.0,12.0,1.0,615,192.0,455.94146341463414,344,186,58,27,0
2010,3.0,7.0,1.0,332,13.0,101.01807228915662,314,14,0,4,0
2010,1.0,3.0,2.0,2866,40.0,604.1064200976971,1802,295,377,392,0
2010,16.0,14.0,14.0,106,2105.5,2165.056603773585,0,1,15,90,0
2010,7.0,6.0,2.0,247,2145.0,2073.008097165992,0,17,76,154,0
2010,5.0,11.0,11.0,68,2874.0,2832.3823529411766,1,0,0,67,0
2010,13.0,9.0,2.0,178,1539.0,1579.6460674157304,5,56,45,72,0
2010,10.0,23.0,2.0,3,334.0,1239.0,2,0,0,1,0
2010,8.0,22.0,2.0,144,2616.0,2493.0138888888887,0,0,21,123,0
2010,7.0,20.0,1.0,65,2624.0,2447.6,0,1,13,51,0
2010,7.0,2.0,2.0,362,2001.5,1864.0994475138123,0,39,108,215,0
2010,7.0,1.0,2.0,79,2203.0,2002.8101265822784,0,11,21,47,0
2010,24.0,1.0,2.0,20,1132.5,1162.9,0,7,13,0,0
2010,17.0,20.0,1.0,3266,204.0,445.6852418860992,2275,470,332,189,0
2010,13.0,53.0,2.0,43,2204.0,2288.6279069767443,0,0,7,36,0
2010,9.0,9.0,12.0,19,2818.0,2406.9473684210525,0,2,3,14,0
2010,22.0,13.0,1.0,11,1778.0,1755.3636363636363,0,1,5,5,0
2010,8.0,28.0,2.0,321,2056.0,2084.7943925233644,0,2,120,199,0
2010,3.0,12.0,16.0,1,2277.0,2277.0,0,0,0,1,0
2010,9.0,5.0,7.0,31,2251.0,2143.2580645161293,1,2,3,25,0
2010,15.0,13.0,3.0,98,362.0,516.9285714285714,50,36,9,3,0
2010,13.0,42.0,2.0,50,2597.0,2590.12,0,0,2,47,1
2010,3.0,27.0,8.0,7,2043.0,1780.0,0,2,0,5,0
2010,17.0,15.0,1.0,2320,625.0,889.0409482758621,992,669,160,499,0
2010,25.0,1.0,6.0,2,1829.0,1829.0,0,0,1,1,0
2010,16.0,11.0,9.0,1,3033.0,3033.0,0,0,0,1,0
2010,13.0,1.0,2.0,713,2138.0,2265.6297335203367,0,0,56,657,0
2010,1.0,25.0,4.0,1636,357.0,722.8080684596576,826,414,101,295,0
2010,11.0,17.0,11.0,3,2915.0,2825.0,0,0,0,3,0
2010,3.0,5.0,1.0,5,664.0,1110.2,0,3,1,1,0
2010,7.0,17.0,1.0,49,2344.0,2385.6530612244896,0,0,5,44,0
2010,11.0,9.0,2.0,5,2384.0,2269.8,0,0,1,4,0
2010,8.0,25.0,1.0,78,2364.0,2346.128205128205,0,0,12,66,0
2010,3.0,18.0,22.0,7,1974.0,1951.2857142857142,0,0,3,4,0
2010,13.0,47.0,2.0,19,2733.0,2650.9473684210525,0,0,0,19,0
2010,6.0,17.0,1.0,70,717.0,804.8857142857142,4,54,10,2,0
2010,13.0,59.0,3.0,127,2260.0,2339.3228346456694,0,0,6,120,1
2010,13.0,58.0,2.0,277,2273.0,2285.335740072202,0,12,72,193,0
2010,13.0,45.0,2.0,181,2078.0,2095.8011049723755,0,0,0,181,0
2010,8.0,23.0,2.0,553,2176.0,2144.1084990958407,0,2,172,379,0
2010,13.0,4.0,2.0,53,2913.0,2840.490566037736,0,1,2,50,0
2010,15.0,13.0,2.0,4,365.0,397.5,2,2,0,0,0
2010,1.0,24.0,1.0,2331,172.0,579.1874731874732,1436,401,147,347,0
2010,17.0,40.0,1.0,379,626.0,1213.7625329815303,166,33,30,150,0
2010,22.0,19.0,1.0,24,2148.5,2198.5416666666665,0,0,8,16,0
2010,13.0,28.0,2.0,14,2815.0,2738.3571428571427,0,0,0,14,0
2010,13.0,66.0,13.0,41,2911.0,2853.121951219512,0,0,0,40,1
2010,22.0,14.0,1.0,108,1330.5,1400.0555555555557,0,0,103,5,0
2010,9.0,22.0,7.0,75,2152.0,2235.9866666666667,0,0,5,70,0
2010,1.0,21.0,25.0,788,691.5,921.6357868020305,287,244,97,160,0
2010,6.0,21.0,1.0,150,1392.0,1406.1266666666668,0,44,67,39,0
2010,24.0,4.0,5.0,1,1755.0,1755.0,0,0,1,0,0
2010,17.0,11.0,7.0,36,2214.5,2181.972222222222,0,2,9,25,0
2010,16.0,18.0,2.0,29,2878.0,2723.689655172414,0,0,5,24,0
2010,8.0,15.0,3.0,111,2445.0,2409.6576576576576,0,0,13,98,0
2010,13.0,27.0,8.0,1,2500.0,2500.0,0,0,0,1,0
2010,7.0,18.0,1.0,3,1480.0,2027.6666666666667,0,0,2,1,0
2010,8.0,30.0,4.0,35,3127.0,3151.0,0,0,0,35,0
2010,13.0,71.0,2.0,58,2988.5,2839.706896551724,0,0,3,51,4
2010,7.0,8.0,4.0,9,2328.0,2319.1111111111113,0,1,0,8,0
2010,8.0,39.0,1.0,11,3081.0,3093.2727272727275,0,0,0,11,0
2010,13.0,34.0,2.0,80,2442.0,2432.425,0,0,3,77,0
2010,13.0,55.0,3.0,173,2571.0,2581.0809248554915,0,0,22,151,0
2010,6.0,11.0,2.0,39,1438.0,1514.5128205128206,0,13,14,12,0
2010,13.0,22.0,3.0,598,1693.5,1799.4698996655518,1,124,234,239,0
2010,13.0,46.0,3.0,122,2581.5,2556.7295081967213,0,0,13,109,0
2010,7.0,21.0,1.0,39,1272.0,1468.6666666666667,0,14,14,11,0
2010,11.0,10.0,4.0,11,2401.0,2444.6363636363635,0,0,0,10,1
2010,8.0,9.0,2.0,468,1769.0,1936.3867521367522,0,14,230,224,0
2010,13.0,70.0,3.0,49,2889.0,2749.265306122449,0,0,5,44,0
2010,1.0,25.0,1.0,8004,51.0,500.97451274362817,5333,1069,874,728,0
2010,5.0,7.0,1.0,1,2627.0,2627.0,0,0,0,1,0
2010,7.0,23.0,1.0,34,3031.5,3072.735294117647,0,0,0,33,1
2010,9.0,35.0,28.0,7,2789.0,2810.1428571428573,0,0,0,7,0
2010,13.0,57.0,2.0,93,2237.0,2377.3763440860216,0,0,19,73,1
2010,8.0,29.0,1.0,386,2129.5,2139.4041450777204,0,4,128,254,0
2010,13.0,51.0,3.0,147,2774.0,2629.639455782313,0,0,12,135,0
2010,13.0,25.0,2.0,161,2378.0,2340.304347826087,0,2,31,128,0
2010,3.0,26.0,3.0,119,987.0,1234.1008403361345,5,63,24,27,0
2010,16.0,22.0,12.0,13,2814.0,2739.4615384615386,0,0,0,13,0
2010,10.0,14.0,9.0,2,2165.0,2165.0,0,0,0,2,0
2010,17.0,22.0,12.0,64,3114.5,3153.546875,0,0,0,64,0
2010,14.0,15.0,1.0,19,850.0,1192.0,0,11,7,1,0
2010,13.0,63.0,3.0,50,2112.5,2177.82,1,1,9,39,0
2010,6.0,26.0,3.0,24,2937.0,2939.625,0,0,0,24,0
2010,22.0,1.0,1.0,42,1710.5,1891.0238095238096,0,0,25,17,0
2010,13.0,61.0,2.0,101,2839.0,2740.128712871287,0,0,1,100,0
2010,13.0,29.0,3.0,218,1581.5,1732.7706422018348,0,18,130,70,0
2010,13.0,7.0,3.0,560,2248.5,2281.8339285714287,1,0,130,429,0
2010,13.0,43.0,3.0,122,2396.0,2490.311475409836,0,0,0,122,0
2010,17.0,18.0,1.0,1183,962.0,1179.021978021978,364,291,180,348,0
2010,9.0,33.0,22.0,23,2520.0,2478.2608695652175,0,0,2,21,0
2010,13.0,65.0,3.0,46,2174.0,2318.282608695652,0,0,4,42,0
2010,22.0,17.0,1.0,77,2508.0,2441.3766233766232,0,1,10,66,0
2010,1.0,8.0,1.0,2153,134.0,485.59451927542966,1326,370,371,86,0
2010,13.0,30.0,3.0,666,2450.0,2387.972972972973,0,1,112,553,0
2010,10.0,33.0,22.0,711,2295.0,2247.8382559774964,2,0,163,546,0
2010,13.0,7.0,2.0,202,2517.5,2514.668316831683,0,0,22,179,1
2010,13.0,58.0,3.0,989,1999.0,2023.5581395348838,0,12,409,568,0
2010,22.0,6.0,1.0,16,1546.5,1498.0,0,2,12,2,0
2010,17.0,26.0,1.0,614,1877.5,1835.127035830619,43,129,130,312,0
2010,9.0,20.0,27.0,4,2724.5,2725.25,0,0,0,4,0
2010,3.0,29.0,7.0,183,21.0,260.26775956284155,149,13,17,4,0
2010,9.0,26.0,7.0,2,2477.0,2477.0,0,0,0,2,0
2010,13.0,52.0,3.0,146,2308.5,2368.849315068493,0,0,18,128,0
2010,1.0,21.0,1.0,5004,166.0,580.0853317346123,3020,928,547,509,0
2010,13.0,5.0,3.0,107,2164.0,2175.7476635514017,0,0,16,91,0
2010,6.0,16.0,1.0,91,1541.0,1730.5604395604396,0,5,53,33,0
2010,15.0,7.0,3.0,26,757.5,851.3461538461538,0,22,3,1,0
2010,13.0,3.0,3.0,253,2433.0,2409.9683794466405,0,0,30,223,0
2010,9.0,28.0,10.0,149,2296.0,2236.959731543624,0,8,32,109,0
2010,1.0,12.0,2.0,953,79.0,190.48583420776495,846,73,25,9,0
2010,10.0,19.0,2.0,2,1996.0,1996.0,0,0,1,1,0
2010,13.0,48.0,3.0,463,1656.0,1744.5788336933044,2,65,231,165,0
2010,31.0,1.0,1.0,150,188.0,367.9266666666667,94,50,2,4,0
2010,14.0,7.0,5.0,18,1816.0,1805.3333333333333,0,0,9,9,0
2010,9.0,36.0,8.0,31,1372.0,1621.4516129032259,0,6,16,9,0
2010,5.0,5.0,12.0,3,3122.0,3087.3333333333335,0,0,0,3,0
2010,12.0,5.0,3.0,62,1594.0,1890.0967741935483,0,10,23,29,0
2010,21.0,2.0,3.0,6,2765.0,2757.6666666666665,0,0,0,6,0
2010,14.0,19.0,1.0,2,2411.5,2411.5,0,0,0,2,0
2010,17.0,17.0,1.0,361,1085.0,1359.7368421052631,55,129,59,118,0
2010,26.0,7.0,1.0,70,2578.5,2628.1285714285714,0,0,0,70,0
