,state_code,dist_code,court_no,median,mean,case_count
2174,8.0,11.0,2.0,2215.0,2163.1954022988507,224.0
2175,8.0,11.0,3.0,2040.0,2083.072392638037,2263.0
2176,8.0,12.0,2.0,2053.0,2111.9953488372093,373.0
2177,8.0,12.0,3.0,2154.5,2168.990909090909,1270.0
2178,8.0,12.0,4.0,2458.0,2297.671232876712,256.0
2179,8.0,12.0,5.0,3190.0,3191.8809523809523,152.0
2180,8.0,12.0,6.0,3017.0,2984.0,50.0
2181,8.0,13.0,1.0,1902.5,1992.8841911764705,1018.0
2182,8.0,13.0,3.0,2059.0,2092.6558533145276,1111.0
2183,8.0,13.0,4.0,1960.0,2008.6030927835052,604.0
2184,8.0,13.0,6.0,2317.0,2223.0167464114834,1586.0
2185,8.0,13.0,7.0,2252.0,2278.909090909091,151.0
2186,8.0,13.0,8.0,2974.0,2967.6260869565217,746.0
2187,8.0,14.0,1.0,1975.0,1963.568720379147,408.0
2188,8.0,14.0,2.0,1814.5,1967.162162162162,139.0
2189,8.0,14.0,3.0,1876.5,2045.435582822086,1787.0
2190,8.0,14.0,5.0,3177.0,3235.9375,29.0
2191,8.0,14.0,6.0,3270.5,3270.5,19.0
2192,8.0,15.0,3.0,2144.5,2089.964480874317,608.0
2193,8.0,15.0,4.0,2193.0,2223.7653239929946,1875.0
2194,8.0,15.0,5.0,2245.0,2230.4666666666667,114.0
2195,8.0,16.0,1.0,2154.0,2155.5544041450776,577.0
2196,8.0,16.0,2.0,2163.5,2127.995118549512,1435.0
2197,8.0,16.0,3.0,1999.0,2109.502857142857,175.0
2198,8.0,16.0,4.0,2660.0,2514.1138211382113,246.0
2199,8.0,16.0,5.0,1796.5,2008.25,18.0
2200,8.0,17.0,2.0,1635.0,1753.147147147147,571.0
2201,8.0,17.0,3.0,2141.0,2165.866666666667,367.0
2202,8.0,17.0,4.0,2905.5,2643.253918495298,2399.0
2203,8.0,17.0,5.0,2001.5,2018.0357142857142,101.0
2204,8.0,17.0,6.0,2038.5,2158.5,132.0
2205,8.0,17.0,7.0,1846.0,1871.071510957324,958.0
2206,8.0,17.0,9.0,3246.0,3243.0,61.0
2207,8.0,18.0,1.0,2282.5,2136.5403225806454,178.0
2208,8.0,18.0,2.0,1878.0,2081.0175438596493,204.0
2209,8.0,18.0,3.0,1995.0,2154.4990980156344,2751.0
2210,8.0,18.0,4.0,2042.0,2135.793696275072,835.0
2211,8.0,18.0,5.0,2674.0,2617.562874251497,1182.0
2212,8.0,18.0,6.0,2282.5,2136.8524590163934,174.0
2213,8.0,18.0,8.0,3230.0,3250.060606060606,66.0
2214,8.0,18.0,9.0,3270.5,3270.5,2.0
2215,8.0,19.0,1.0,2357.0,2169.2758620689656,120.0
2216,8.0,19.0,2.0,2620.0,2508.743119266055,166.0
2217,8.0,19.0,3.0,2392.0,2268.317073170732,1733.0
2218,8.0,20.0,1.0,1815.0,1894.9795918367347,69.0
2219,8.0,20.0,2.0,2321.0,2278.8709677419356,55.0
2220,8.0,20.0,3.0,2532.0,2343.910224438903,696.0
2221,8.0,21.0,2.0,1919.0,2034.144827586207,278.0
2222,8.0,21.0,3.0,2276.0,2306.418685121107,2762.0
2223,8.0,21.0,4.0,2339.0,2262.64406779661,231.0
2224,8.0,22.0,2.0,2616.0,2493.0138888888887,239.0
2225,8.0,22.0,3.0,2160.0,2193.065743944637,1599.0
2226,8.0,22.0,4.0,1916.0,2086.5789473684213,216.0
2227,8.0,22.0,5.0,3048.0,3054.2,356.0
2228,8.0,23.0,2.0,2176.5,2144.6714801444045,873.0
2229,8.0,23.0,3.0,2361.0,2376.0042194092825,3563.0
2230,8.0,23.0,4.0,2293.0,2200.3442136498516,734.0
2231,8.0,24.0,1.0,2358.0,2337.745535714286,407.0
2232,8.0,24.0,2.0,2441.0,2409.7304964539007,294.0
2233,8.0,24.0,3.0,2073.0,2132.0078740157483,2905.0
2234,8.0,25.0,1.0,2364.0,2346.128205128205,124.0
2235,8.0,25.0,3.0,2463.0,2335.6176470588234,959.0
2236,8.0,26.0,1.0,2007.0,2016.143198090692,705.0
2237,8.0,26.0,2.0,2036.5,2137.218097447796,2241.0
2238,8.0,26.0,3.0,1900.5,2020.1037735849056,395.0
2239,8.0,26.0,4.0,2948.0,2948.0,121.0
2240,8.0,27.0,1.0,2232.0,2205.128342245989,378.0
2241,8.0,27.0,2.0,2600.0,2669.3081285444237,529.0
2242,8.0,27.0,3.0,2535.0,2512.7391304347825,115.0
2243,8.0,28.0,1.0,2167.0,2156.3706293706296,2863.0
2244,8.0,28.0,2.0,2061.0,2088.798761609907,614.0
2245,8.0,28.0,3.0,1804.0,1864.2932330827068,299.0
2246,8.0,28.0,4.0,2305.0,2371.5263157894738,640.0
2247,8.0,29.0,1.0,2141.0,2140.7131782945735,758.0
2248,8.0,29.0,2.0,1738.0,1936.3292307692307,834.0
