state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name,district_name,court_name
16.0,21.0,1.0,13483.0,13455.0,19.0,136.05180230397622,West Bengal,North Dinajpur,District and Sessions Judge Raiganj
16.0,12.0,6.0,5386.0,4971.0,19.0,178.02031784349225,West Bengal,Murshidabad,Addl District and Session Judge
13.0,31.0,5.0,60647.0,58835.0,19.0,226.02843545508625,Uttar Pradesh,Pratapgarh,Chief Judicial Magistrate
8.0,2.0,2.0,13701.0,13697.0,19.0,153.2280061327298,Bihar,Kaimur at Bhabhua,D J Division
8.0,5.0,3.0,23382.0,23285.0,19.0,128.55718273566674,Bihar,Katihar,D J Division
12.0,15.0,3.0,1549.0,1329.0,19.0,120.35816403310758,Jammu and Kashmir,Doda,Chief Judicial Magistrate
8.0,19.0,2.0,10345.0,10217.0,19.0,199.1760790838798,Bihar,Lakhisarai,DJ Division
16.0,18.0,3.0,9496.0,9169.0,19.0,304.53648162285964,West Bengal,Purba Bardhaman,CHIEF JUDICIAL MAGISTRATE
8.0,35.0,1.0,8045.0,8044.0,19.0,109.40290900049726,Bihar,Gaya,District and Sessions Judge Div.
3.0,22.0,18.0,5780.0,5761.0,19.0,172.16090956431177,Karnataka,MANDYA,"III ADL DISTRICT AND SESSIONS JUDGE, SRPATTANA"
11.0,17.0,2.0,2871.0,2778.0,19.0,187.67710583153348,Orissa,Balangir,"District & Sessions Judge,Bolangir"
13.0,8.0,2.0,55279.0,53287.0,19.0,154.73911085255315,Uttar Pradesh,Ghaziabad,District Sessions Judge
3.0,28.0,7.0,1799.0,1793.0,20.0,207.28890128276632,Karnataka,RAMANAGARAM,"II ADJ, RAMANAGARA SITTING AT KANAKAPURA"
16.0,3.0,6.0,5017.0,4950.0,20.0,160.51535353535354,West Bengal,Calcutta,City Sessions Court Calcutta
8.0,4.0,2.0,34403.0,34398.0,20.0,139.50145357288216,Bihar,Saran at Chapra,"D J  Division,Saran at Chapra"
17.0,11.0,1.0,22744.0,22375.0,20.0,276.0002234636872,Gujarat,GANDHINAGAR,Gandhinagar District
11.0,24.0,2.0,1739.0,1684.0,20.0,185.80819477434682,Orissa,Boudh,"District & Sessions Judge,Boudh"
13.0,37.0,2.0,7854.0,7192.0,20.0,159.76459955506118,Uttar Pradesh,Kaushambi,kaushambidj
6.0,15.0,1.0,4590.0,4575.0,20.0,157.63956284153005,Assam,Nalbari,District and Sessions Judge
21.0,1.0,2.0,2470.0,1743.0,20.0,176.66207687894436,Meghalaya,East Khasi Hills,District  Sessions Judge Shillong
9.0,6.0,8.0,12307.0,11281.0,21.0,261.56794610406877,Rajasthan,Bikaner,DJ ADJ - Bikaner District HQ
3.0,29.0,1.0,15951.0,13394.0,21.0,173.71464835000748,Karnataka,CHIKKABALLAPUR,Prl. District and Sessions Court
29.0,1.0,1.0,16325.0,16092.0,21.0,274.9381680338056,Telangana,Adilabad,"District and Sessions Courts, Adilabad"
8.0,31.0,1.0,25386.0,25013.0,21.0,150.02634629992403,Bihar,Sitamarhi,"District and Sessions Judge, Sitamarhi"
13.0,11.0,2.0,2985.0,2852.0,21.0,160.84291725105192,Uttar Pradesh,Shravasti,"District and Sessions Judge, Shravasti"
11.0,1.0,4.0,13944.0,13693.0,21.0,242.9691813335281,Orissa,Cuttack,"District and Sessions Court, Cuttack"
16.0,4.0,2.0,20047.0,19831.0,21.0,143.51348898189704,West Bengal,Jalpaiguri,District & Session Judge
1.0,8.0,11.0,1354.0,1348.0,21.0,124.61275964391693,Maharashtra,Wardha,"DISTRICT AND SESSIONS COURT, HINGANGHAT"
9.0,30.0,18.0,3340.0,3225.0,21.0,249.12062015503875,Rajasthan,Chittorgarh,ADJ-NIMBHERA TALUKA
16.0,21.0,5.0,6356.0,6068.0,21.0,261.3894199077126,West Bengal,North Dinajpur,Additional District Judge Islampur
13.0,38.0,3.0,16978.0,13278.0,21.0,155.76336797710502,Uttar Pradesh,Mahoba,Chief Judicial Magistrate
8.0,26.0,1.0,14343.0,14308.0,21.0,307.8436538999161,Bihar,Buxar,DJ Division
3.0,19.0,1.0,16821.0,16126.0,21.0,243.0142006697259,Karnataka,KOLAR,PRL.DISTRICT AND SESSIONS JUDGE
6.0,13.0,1.0,8233.0,7905.0,21.0,154.47590132827327,Assam,Cachar,District And Sessions Judge Court
6.0,2.0,2.0,7334.0,7042.0,22.0,223.900454416359,Assam,Tinsukia,District and Sessions Judge
7.0,15.0,1.0,5834.0,5673.0,22.0,251.5022034197074,Jharkhand,Seraikella,District And Sessions Court
16.0,1.0,2.0,21383.0,21255.0,22.0,151.81519642437073,West Bengal,Malda,"District and Sessions Judge, Malda"
13.0,5.0,2.0,10283.0,9630.0,22.0,203.06510903426792,Uttar Pradesh,Chitrakoot,District and Sessions Judge
16.0,17.0,2.0,4403.0,4322.0,22.0,158.96205460434985,West Bengal,Darjeeling,District and Sessions Judge Court
10.0,5.0,5.0,31802.0,24834.0,22.0,290.05315293549165,Tamil Nadu,Namakkal,Chief Judicial Magistrate
13.0,66.0,3.0,72007.0,55460.0,22.0,213.77861521817528,Uttar Pradesh,Jhansi,Chief Judicial Magistrate
16.0,17.0,18.0,347.0,326.0,22.0,180.89877300613497,West Bengal,Darjeeling,Additional District and Sessions Judge
7.0,13.0,1.0,9065.0,8813.0,22.0,164.45376148870986,Jharkhand,Chatra,"P.D.J. ESTABLISHMENT, CHATRA, JHARKHAND"
16.0,6.0,6.0,3452.0,3428.0,22.0,121.58343057176195,West Bengal,Coochbehar,"Addl. District & Sessions Judge , Dinhata"
6.0,4.0,2.0,4712.0,4668.0,22.0,136.23714652956298,Assam,Morigaon,"District and Sessions Judge,Morigaon"
3.0,13.0,1.0,25414.0,20092.0,23.0,189.97262592076447,Karnataka,CHITRADURGA,Prl. District and Sessions Judge
6.0,1.0,4.0,20744.0,20442.0,23.0,197.6390274924176,Assam,Kamrup Metro,Dist Judge and Addl Dist Judges
8.0,33.0,1.0,3749.0,3743.0,23.0,181.08736307774512,Bihar,Bhojpur,District and Sessional Judge Div.
17.0,19.0,1.0,18642.0,18556.0,23.0,288.6024466479845,Gujarat,Banaskanth at Palanpur,DISTRICT AND SESSION COURT PALANPUR
3.0,10.0,1.0,10122.0,9012.0,23.0,238.2561029738127,Karnataka,UTTARA KANNADA,"PRL. DISTRICT AND SESSIONS JUDGE COURT, U.K KARWAR"
3.0,9.0,1.0,21372.0,20980.0,23.0,178.35305052430888,Karnataka,DHARWAD,PRL. DISTRICT AND SESSIONS JUDGE
13.0,38.0,2.0,9362.0,8842.0,23.0,169.1630852748247,Uttar Pradesh,Mahoba,District Session Judge
3.0,6.0,1.0,14052.0,14014.0,23.0,166.773298130441,Karnataka,RAICHUR,PRL DISTRICT AND SESSIONS JUDGE
7.0,3.0,1.0,6646.0,6466.0,23.5,158.54979894834517,Jharkhand,Koderma,Principal District  Sessions Judge
7.0,19.0,1.0,7003.0,6974.0,24.0,251.451390880413,Jharkhand,Latehar,District and Sessions Courts
16.0,2.0,3.0,24720.0,24288.0,24.0,170.90023880105403,West Bengal,Hooghly,"DISTRICT SESSION JUDGE, HOOGHLY"
9.0,11.0,2.0,8090.0,7408.0,24.0,187.92832073434124,Rajasthan,Hanumangarh,DJ ADJ-Hanumangarh District HQ
16.0,17.0,3.0,4857.0,3975.0,24.0,227.79899371069183,West Bengal,Darjeeling,Chief Judicial Magistrate
10.0,26.0,3.0,14542.0,8871.0,24.0,291.3854131439522,Tamil Nadu,Krishnagiri,"Chief Judicial Magistrate,Krishnagiri"
13.0,29.0,2.0,30027.0,29233.0,24.0,200.24031060787468,Uttar Pradesh,Firozabad,District And Sessions Judge
13.0,44.0,3.0,20070.0,18573.0,24.0,161.58595811123675,Uttar Pradesh,Azamgarh,Chief Judicial Magistrate
13.0,43.0,2.0,28024.0,26808.0,24.0,135.49328558639212,Uttar Pradesh,Aligarh,District and Session Judge
17.0,29.0,1.0,17585.0,17370.0,24.0,326.3496257915947,Gujarat,Sabarkantha at Himmatnagar,DISTRICT AND SESSIONS COURT SABARKANTHA
8.0,27.0,1.0,17832.0,17762.0,24.0,224.68173629095818,Bihar,Nawada,DJ DIVISION
3.0,15.0,13.0,2513.0,2512.0,24.0,200.67237261146497,Karnataka,SHIVAMOGGA,"V ADJ,SHIVAMOGGA SITTING AT SAGARA"
7.0,5.0,1.0,5873.0,5639.0,25.0,294.4289767689307,Jharkhand,Gumla,"District and Sessions Court,Gumla"
7.0,10.0,1.0,13906.0,13564.0,25.0,128.52646711884398,Jharkhand,Giridih,District And Sessions Courts Giridih
16.0,13.0,3.0,13191.0,10462.0,25.0,257.11718600649965,West Bengal,South Dinajpur,"CJM , JM1 and JM2 Courts at Balurghat"
17.0,13.0,1.0,46919.0,46761.0,25.0,342.0236949594748,Gujarat,Ahmedabad,AHMEDABAD DISTRICT COURT
7.0,12.0,1.0,6474.0,6426.0,25.0,131.53439153439155,Jharkhand,Jamtara,District and Sessions Courts
7.0,9.0,4.0,29978.0,28363.0,25.0,146.22638648944047,Jharkhand,Dhanbad,District and Sessions Judge Dhanbad
3.0,23.0,1.0,37577.0,37359.0,25.0,199.96182981343185,Karnataka,HASSAN,Prl.District and Sessions Judge
11.0,6.0,3.0,4026.0,3970.0,25.0,231.02720403022667,Orissa,Koraput,"District and Sessions Judge, Jeypore"
8.0,7.0,2.0,10607.0,10598.0,25.0,183.2393847895829,Bihar,Banka,D J Division
17.0,19.0,18.0,11149.0,11105.0,25.0,297.64547501125617,Gujarat,Banaskanth at Palanpur,ADDITIONAL DISTRICT COURT DEESA
11.0,27.0,2.0,4215.0,4150.0,25.0,339.94457831325303,Orissa,Anugul,"District and Sessions Judge, Anugul"
18.0,6.0,10.0,209.0,209.0,25.0,184.21052631578945,Chhattisgarh,Raigarh,"Addl. District and Sessions Judge, Gharghoda"
25.0,2.0,5.0,8485.0,4392.0,26.0,118.48201275045535,Manipur,Imphal West,"Court of Chief Judicial Magistrate, Imphal West"
17.0,42.0,3.0,5606.0,5596.0,26.0,243.19585418155827,Gujarat,Mahisagar at Lunawada,"DISTRICT COURT, MAHISAGAR"
9.0,23.0,3.0,5076.0,4895.0,26.0,338.50112359550565,Rajasthan,Pratapgarh,DJ ADJ COURT PRATAPGARH DISTRICT HQ
13.0,74.0,7.0,2437.0,2212.0,26.0,219.8024412296564,Uttar Pradesh,Sambhal at Chandausi,District and Sessions Court Sambhal at Chandausi Headquarter
13.0,44.0,2.0,14965.0,14376.0,26.0,191.96772398441848,Uttar Pradesh,Azamgarh,District and Sessions Judge
13.0,56.0,2.0,24281.0,22393.0,26.0,200.91756352431565,Uttar Pradesh,Rampur,District and Sessions Judge
