act,section,criminal
17353.0,394332.0,37
17353.0,1134649.0,37
17353.0,538104.0,37
17353.0,1036294.0,37
17353.0,132572.0,37
17353.0,556422.0,38
17353.0,903705.0,38
17353.0,1298081.0,39
17353.0,579903.0,39
17353.0,192450.0,39
17353.0,1127838.0,40
17353.0,878234.0,40
17353.0,581368.0,41
17353.0,1335907.0,41
17353.0,1299554.0,41
17353.0,1091751.0,41
17353.0,1050257.0,41
17353.0,245310.0,42
17353.0,697313.0,42
17353.0,1046101.0,43
17353.0,1126644.0,43
17353.0,1227597.0,43
17353.0,1163363.0,43
17353.0,1086596.0,44
17353.0,863280.0,44
17353.0,1368535.0,44
17353.0,366047.0,45
17353.0,950709.0,46
17353.0,1176067.0,47
17353.0,357802.0,47
17353.0,902562.0,48
17353.0,687568.0,48
17353.0,556662.0,48
17353.0,620463.0,48
17353.0,902191.0,49
17353.0,1088091.0,50
17353.0,943912.0,50
17353.0,861169.0,51
17353.0,234020.0,51
17353.0,362297.0,52
17353.0,541789.0,52
17353.0,854829.0,54
17353.0,1091337.0,54
17353.0,602199.0,54
17353.0,45201.0,55
17353.0,1182493.0,55
17353.0,366258.0,56
17353.0,790891.0,56
17353.0,791189.0,56
17353.0,555315.0,56
17353.0,620809.0,58
17353.0,797012.0,58
17353.0,601795.0,58
17353.0,789056.0,61
17353.0,1337973.0,61
17353.0,1108472.0,62
17353.0,87601.0,62
17353.0,986368.0,63
17353.0,1129064.0,63
17353.0,507994.0,63
17353.0,329990.0,63
17353.0,64679.0,63
17353.0,578777.0,65
17353.0,471945.0,68
17353.0,943766.0,68
17353.0,953192.0,69
17353.0,556143.0,71
17353.0,423960.0,71
17353.0,557001.0,72
17353.0,138634.0,72
17353.0,337913.0,73
17353.0,793093.0,74
17353.0,137846.0,75
17353.0,923747.0,75
17353.0,602065.0,76
17353.0,1079630.0,78
17353.0,903501.0,79
17353.0,478359.0,80
17353.0,1175964.0,82
17353.0,516041.0,82
17353.0,1128406.0,82
17353.0,985462.0,82
17353.0,790214.0,83
17353.0,533626.0,83
17353.0,433758.0,83
17353.0,1036601.0,84
17353.0,263220.0,86
17353.0,1317164.0,87
17353.0,945694.0,89
17353.0,1166313.0,89
17353.0,264924.0,93
17353.0,635313.0,93
17353.0,1010315.0,96
17353.0,643420.0,96
17353.0,1345422.0,97
17353.0,1302783.0,97
17353.0,1140139.0,99
17353.0,575958.0,101
17353.0,469265.0,102
17353.0,419925.0,104
17353.0,126114.0,105
17353.0,1086225.0,107
17353.0,643597.0,107
17353.0,951562.0,112
17353.0,317221.0,112
17353.0,790361.0,114
17353.0,364463.0,117
17353.0,923848.0,118
17353.0,346623.0,119
17353.0,585289.0,119
17353.0,791039.0,123
17353.0,786493.0,125
17353.0,1127931.0,125
17353.0,1134591.0,127
17353.0,1008843.0,127
17353.0,1054119.0,129
17353.0,499824.0,130
17353.0,1190619.0,132
17353.0,484775.0,135
17353.0,533465.0,139
17353.0,682305.0,144
