,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count
187,2016,3,5,28449,-1,17117,0.5416257950194602,14486
188,2016,3,27,12857,-1,7761,0.5164703533639449,7266
189,2016,3,29,15196,-1,8594,0.4325984093425954,11272
190,2016,3,17,18497,-1,10749,0.5173260179035518,10029
191,2016,3,13,17941,-1,10832,0.48476169165361377,11513
192,2016,3,24,38269,-1,22700,0.543296156239529,19082
193,2016,3,14,22246,-1,13093,0.5369724808268056,11290
194,2016,3,9,29935,-1,19705,0.609684405940594,12615
195,2016,3,8,6972,-1,4118,0.4478520935290919,5077
196,2016,3,23,40140,-1,25069,0.5451441743139216,20917
197,2016,3,11,17152,-1,9036,0.45507655116841256,10820
198,2016,3,25,8988,-1,4969,0.5229975792021893,4532
199,2016,3,19,18153,-1,10037,0.4942387236557022,10271
200,2016,3,7,11909,-1,6416,0.47462642402722294,7102
201,2016,3,22,27955,-1,14458,0.4515020923115358,17564
202,2016,3,26,51899,-1,28913,0.4719642186709326,32348
203,2016,3,6,19601,-1,10868,0.47039473684210525,12236
204,2016,3,28,11944,-1,5788,0.39994472084024324,8684
205,2016,3,15,37323,-1,21505,0.5285472018089316,19182
206,2016,3,18,39133,-1,24657,0.5375057223203191,21216
207,2016,3,16,25915,-1,19655,0.7096692663200462,8041
208,2016,3,10,17258,-1,9832,0.4857947527051732,10407
209,2016,3,30,7478,-1,4912,0.5546522131887985,3944
210,2017,3,3,22443,-1,13458,0.5293007158027216,11968
211,2017,3,4,28334,-1,15679,0.5436923503710382,13159
212,2017,3,1,76578,-1,41708,0.5058949104846926,40736
213,2017,3,2,25745,-1,15453,0.5757880617035547,11385
214,2017,3,20,226885,-1,138401,0.5741803261685772,102640
215,2017,3,21,39067,-1,25955,0.48087968281024196,28019
216,2017,3,12,39168,-1,25459,0.6078309657395249,16426
217,2017,3,5,30926,-1,18038,0.5884578997161779,12615
218,2017,3,27,14584,-1,7524,0.47252402185517806,8399
219,2017,3,29,20145,-1,11251,0.49750165819146586,11364
220,2017,3,17,19074,-1,10026,0.4982606102773084,10096
221,2017,3,13,20786,-1,11166,0.5043588237951127,10973
222,2017,3,24,40988,-1,25011,0.5480301503133354,20627
223,2017,3,14,23661,-1,13735,0.5573590877734043,10908
224,2017,3,9,30570,-1,19326,0.58989072706184,13436
225,2017,3,8,10211,-1,6447,0.5265866209262435,5796
226,2017,3,23,38705,-1,21048,0.48366193299324417,22470
227,2017,3,11,22225,-1,10571,0.5142787642909268,9984
